anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Gewerbepark Meyenburg 20-22,Beton,Berkholz-Meyenburg,schwedter-beton@t-online.de,SBB Schwedter Beton- und Baustoffe GmbH,https://www.gelbeseiten.de/gsbiz/cf30ccfd-46eb-4d80-8e71-0476b36293d2,16306 ,03332 41 29 15
,Drewitzer Str. 18,Beton,Cottbus-Sandow,cottbus@heidelberger-beton.de,Heidelberger Beton GmbH,https://www.gelbeseiten.de/gsbiz/59ed8ed3-aeab-428c-96d8-f67f8cd84d5b,03042 ,0355 72 68 31
,Bertholdsdorf 254,Beton,Windbach-Bertholdsdorf,winner.beton@pcconnect.de,Winner-Beton GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/384cdb50-ad47-4a38-ae8c-945aec937e11,91575 ,09871 92 11
,Zwischen den Wegen 13,"Beton,Container",Elsenfeld,info@bachmann-elsenfeld.de,Bachmann Containerdienst,https://www.gelbeseiten.de/gsbiz/89138d60-05bf-4df7-9501-a793baf74b7d,63820 ,06022 5 07 02 48
,Piccardstraße 8A,"Beton,Sand und Kies",Augsburg-Universitätsviertel,info@rennig-beton.de,RENNIG BETON GmbH & Co.,https://www.gelbeseiten.de/gsbiz/b46808d9-6b08-47f2-b88d-d09ac777423d,86159 ,0821 5 97 28-0
,Kempener Str. 100,Beton,Wachtendonk,hofmann@kloesters.de,Josef Klösters Kies & Beton GmbH,https://www.gelbeseiten.de/gsbiz/84ec4bf3-5910-4e6b-b8b2-84ffd54cea23,47669 ,02836 91 11 11-5
,Erste Hafenstr. 12,"Beton,Transportbeton",Hamburg,info@thomasbeton.de,Thomas Beton GmbH,https://www.gelbeseiten.de/gsbiz/3665e029-2fa4-49fd-810d-069f80ac4650,21079 ,040 5 70 18 11-33
,Schweinfurter Str. 137,Beton,Bergrheinfeld,beton@riedelbau.de,Riedel Beton,https://www.gelbeseiten.de/gsbiz/1f77d83c-3dda-45ad-aded-0d72f9a11597,97493 ,09721 6 76-3 60
,Albertshofer Chaussee,Beton,Bernau bei Berlin,bernau@pro-beton.de,PRO-BETON Produkte aus Beton GmbH & Co. KG Brandenburg,https://www.gelbeseiten.de/gsbiz/8ecc9f6b-b76f-450f-8cb6-31237de664ed,16321 ,03338 7 08 83 23
,Am Floßgraben 4,"Transportbeton,Beton",Neustadt,beton@thomas-gruppe.de,mth-beton GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/415c40c3-810f-4cdb-b47d-e93b08b596d1,96465 ,09562 3 09 00-70
,Triebstr. 34,Beton,Waghäusel-Wiesental,info@fehr-technologies.com,Fehr Technologies Deutschland GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/bad0e40e-035b-458b-8749-35ab537ef736,68753 ,07254 20 90
,Mährenhäuser Str. 1,Transportbeton,Bad Rodach-Breitenau,beton@thomas-gruppe.de,mth-beton GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/ee83e664-60c6-409a-8eb0-38a98713c5cf,96476 ,09562 3 09 00-70
,Mintrachinger Str. 5,"Bauunternehmen,Asphalt,Beton",Mintraching-Mangolding,info@guggenberger-bau.de,Guggenberger GmbH,https://www.gelbeseiten.de/gsbiz/b596f7cc-66e9-4082-84a8-fed386da4081,93098 ,09406 28-0
,Hauptstr. 9,"Beton,Transportbeton",Küps-Tüschnitz,beton@thomas-gruppe.de,mth-beton GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/fad1d145-a6f9-4f00-83ee-0619f461acb6,96328 ,09562 3 09 00-70
,Mettendorfer Weg 22,Beton,Greding,tbg-franken@betonwelt.de,Heidelberger Beton Franken,https://www.gelbeseiten.de/gsbiz/6efedebb-fb48-47ec-ac79-6ac968dcfbdc,91171 ,0911 92 87-50
,Gewerbering 20,Beton,Adelheidsdorf,info@aller-beton-logistik.de,Aller-Beton GmbH,https://www.gelbeseiten.de/gsbiz/e41dd4ff-356d-4fa6-b521-5e5e851db5cd,29352 ,05141 8 40 34
,Gochsheimer Landstr. 1,Beton,Grafenrheinfeld,info@tb-gloeckle.de,TB Transportbeton Glöckle GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/4b9ea8d8-9195-4c83-a9c6-30e320d72512,97506 ,09721 80 01-6 61
,IKW-Str. 25-27,Beton,Lauchhammer,Scadock.Hofmann@t-online.de,Betoninstandsetzung Scadock & Hofmann GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/7328183c-0dd5-4429-a9ca-33b26e9ef510,01979 ,03574 88 54-0
,Zur Schleuse 3,Beton,Rehlingen-Siersburg,info@mobilbeton-gmbh.de,Mobil Beton GmbH,https://www.gelbeseiten.de/gsbiz/bfb557a2-3e9e-4fbd-9ed5-aaecfae7006c,66780 ,06835 9 36 56
,Industriestr. 7-9,Beton,Saarbrücken-Bübingen,info@meyer-weil.de,BETONTANKSTELLE Meyer & Weil GmbH,https://www.gelbeseiten.de/gsbiz/4530a205-0876-4579-ad04-416a3e8cf6c3,66129 ,06805 91 20 30
,Am Floßhafen 79,Beton,Aschaffenburg-Innenstadt,info@betomix-bma.de,Betomix Transportbeton GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/c2b2d18f-5d7f-4d46-a194-b362d476d93a,63743 ,06021 2 52 71
,Industriestr. 1,"Beton,Bauunternehmen",Marktzeuln-Horb,info@fto-fertigteilwerk.de,FTO Fertigteilwerk Obermain GmbH,https://www.gelbeseiten.de/gsbiz/58791d53-82ca-46e6-a9be-bc4c91114f1d,96275 ,09574 3 37-0
