anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,August-Euler-Str. 9,"Treppen,Balkonbau,Blechbe- und -verarbeitung",Pulheim,info@mueller-metall-form.de,Müller Metall Form,https://www.gelbeseiten.de/gsbiz/8479a28f-bbb0-417b-a96a-c312314d064f,50259 ,02238 96 45 48
,Bedburger Weide 45,Metallbe- und -verarbeitung,Bedburg-Hau-Hasselt,info@kontech-kleve.de,Kontech Konstruktionstechnik in Stahl- und Leichtmetallbau GmbH,https://www.gelbeseiten.de/gsbiz/898c9911-c2ac-433f-972f-694be50e3018,47551 ,02821 7 61 29-0
,Otto-Böttinger-Str. 2B,Kunststoffbe- und -verarbeitung,Ruhla,kontakt@frank-liebergeld.com,Frank & Liebergeld,https://www.gelbeseiten.de/gsbiz/962ca58e-659e-4de2-8259-5c69508ec5b7,99842 ,036929 6 48 30
,Langwiesenstr. 24,Metallbe- und -verarbeitung,Güglingen-Frauenzimmern,info@via-sambua-design.de,Via sambua design,https://www.gelbeseiten.de/gsbiz/fdf0a54f-395e-4fdb-87e3-874b48c7b496,74363 ,07135 93 24 17
,Am Alten Walzwerk 1,Blechbe- und -verarbeitung,Hennigsdorf,info@dieblechprofis.de,Die Blechprofis Kruschke GmbH,https://www.gelbeseiten.de/gsbiz/5e986ce2-ebd7-4928-9394-2c16b76b5846,16761 ,03302 2 08 17 27
,Unterwöhrn 34,"Metallbau,Aluminiumbe- und -verarbeitung,Edelstahlbau",Rott-Unterwöhrn,info@metallbau-eder.de,Eder Paul Metallbau GmbH,https://www.gelbeseiten.de/gsbiz/1630daff-a4fe-4925-8cf8-49404f085d9b,83543 ,08039 20 07
,Adolf-Heim-Str. 19,"Schlossereien,Metallbau",Bietigheim-Bissingen,info@mackmetallbau.de,Mack Metallbau GmbH,https://www.gelbeseiten.de/gsbiz/87802f21-287a-46ad-b522-1c9533256ede,74321 ,07142 68 98
,Göschwitzer Str. 62,Blechbe- und -verarbeitung,Jena-Göschwitz,info@jenaer-feinblech.de,JFB,https://www.gelbeseiten.de/gsbiz/93dcf336-4d8a-4ae9-aaf1-082c1f1e11c9,07745 ,03641 2 01 99-0
,August-Borsig-Ring 23,"Blechbe- und -verarbeitung,Metallbe- und -verarbeitung",Schöneiche,ch.hampe@arcor.de,Hampe Christian - Metallverarbeitung,https://www.gelbeseiten.de/gsbiz/45d814d9-ce15-4cb9-ba17-53f186277747,15566 ,030 64 38 90 04
,Weststr. 22,"Schlossereien,Edelstahl und -verarbeitung,Metallbau",Remscheid-Innen,info@Utracik.de,L & U Metall- und Stahlbau GmbH,https://www.gelbeseiten.de/gsbiz/fdc8b4cc-25b6-4eae-aa7a-2c462a964d13,42857 ,02191 78 05 00
,Otto-Schmerbach-Str. 19,"Laserzuschnitte,Blechbe- und -verarbeitung,Lasertechnik",Chemnitz-Siegmar,btr-laser@t-online.de,BTR Lasertechnik GmbH,https://www.gelbeseiten.de/gsbiz/9c467bfc-d820-4a4a-a4f3-9951d94f1d1e,09117 ,0371 8 00 08 30
