anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Pausaer Str. 16,"An- und Verkauf,Haushaltsauflösungen",Plauen-Haselbrunn,info@agentur-vogtland.de,Antik An- & Verkauf,https://www.gelbeseiten.de/gsbiz/e5ca740e-efe5-4ccb-9b9f-5ed2fc1954ae,08525 ,03741 40 43 30
,Trachenberger Str. 23,An- und Verkauf,Dresden-Pieschen-Nord/Trachenberge,info@gamesbroker.de,An- & Verkauf Gamesbroker Dresden,https://www.gelbeseiten.de/gsbiz/4a551f95-5121-4e28-b266-2af88facb139,01279 ,0351 84 22 98 74
,Schandauer Str. 69,An- und Verkauf,Dresden-Striesen-Ost,info@technikhouse.de,An- und Verkauf,https://www.gelbeseiten.de/gsbiz/7157895d-f08e-445a-84a8-dd635f327aef,01277 ,0351 3 14 66 77
,Immermannstr. 19,"An- und Verkauf,Gold- und Silberankauf,Münzen",Düsseldorf-Stadtmitte,info@muenzen-ritter.de,Münzhandlung Ritter GmbH,https://www.gelbeseiten.de/gsbiz/8ca8756f-54c8-4947-9158-e14d50cf2677,40210 ,0211 3 67 80-0
,Talstr. 6,An- und Verkauf,Wuppertal-Elberfeld,info@blitz-autoankauf.com,Blitz Autoankauf,https://www.gelbeseiten.de/gsbiz/2b5f5073-c9cf-4d21-8cd1-d48f43139ecf,42115 ,0176 72 68 08 66
,Kronacher Str. 35,An- und Verkauf,Steinwiesen,menke.rolf@hotmail.de,Hallenflohmarkt Rolf Menke,https://www.gelbeseiten.de/gsbiz/49b42ae5-6ef6-4bcd-8397-b83a339e92de,96349 ,0177 6 91 87 82
,Robert-Blum-Str. 11,Antiquitäten,Dresden-Innere Neustadt,info@dresden-antiquariat.de,Antiquariat und Kunsthandlung Bachmann & Rybicki,https://www.gelbeseiten.de/gsbiz/89e796e1-76f9-4bce-9dfb-30b4946e5215,01097 ,0351 21 96 09 03
,Schloßstr. 1,Antiquitäten,Königs Wusterhausen,info@antikcenter-koenigs-wusterhausen.de,Antik Center Königs Wusterhausen,https://www.gelbeseiten.de/gsbiz/f428010a-0dbd-4183-b1af-601e362e07b3,15711 ,03375 29 68 81
,Augustenstr. 41,"An- und Verkauf,Antiquitäten,Nachlässe",München-Maxvorstadt,antikfranz@googlemail.com,A A Ankauf Antiquitäten,https://www.gelbeseiten.de/gsbiz/7ffc14e6-ec56-442e-8143-1644eff98935,80333 ,089 52 73 77
,Oberbilker Allee 236-238,An- und Verkauf,Düsseldorf-Oberbilk,zenjasv@mail.ru,Möbelhof Slatka,https://www.gelbeseiten.de/gsbiz/6c2e40d1-9ac4-40fb-9c3a-785318a94346,40227 ,0211 4 23 34 91
,Wolbecker Str. 42,"Haushaltsauflösungen,An- und Verkauf,Entrümpelungen",Münster-Centrum,holtabbesenrein@gmx.de,RuckZuck Entrümpelungsdienst,https://www.gelbeseiten.de/gsbiz/e191e5d0-f095-46c7-96c7-85af9fffc279,48155 ,0251 74 74 91 87
,Friedrich-Engels-Str. 24,"Umzüge,An- und Verkauf",Plauen-Stadtmitte,info@qualitaetsumzuege.de,Petzold Umzüge,https://www.gelbeseiten.de/gsbiz/450cfbd3-3851-46c4-ac73-d1c5fdf60fe5,08523 ,03741 22 12 91
,Hauptstr. 5A,An- und Verkauf,Dresden-Innere Neustadt,secondseason-dd@web.de,A&V Designer- & Exclusivmode Second Season,https://www.gelbeseiten.de/gsbiz/0cb51955-244d-49f5-81eb-d8a6cbe1b90a,01097 ,0351 8 01 14 32
,Große Diesdorfer Str. 64B,"Haushaltsauflösungen,An- und Verkauf,Entrümpelungen",Magdeburg-Stadtfeld West,service@auszeiterhand-md.de,An- und Verkauf Aus Zweiter Hand,https://www.gelbeseiten.de/gsbiz/e8d92dbf-90ba-4755-a3db-f7cb72321718,39110 ,0391 7 31 43 31
,Hoyerswerdaer Str. 39,"An- und Verkauf,Handys",Dresden-Innere Neustadt,info@handy-dresden.de,Handyladen Dresden,https://www.gelbeseiten.de/gsbiz/36c4558f-d74c-4bc0-9aba-e89c99348db6,01099 ,0351 4 04 55 44
,Meißener Str. 2,Antiquitäten,Dortmund-Mitte,info@antik-ankauf-rs.de,Ankauf-Antiquitäten aller Art & Asiatika - Inhaber Stefan Steder,https://www.gelbeseiten.de/gsbiz/d3e0e36b-b932-45ce-af59-8385cfcc6f3f,44135 ,0231 28 99 84 53
