anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Gewerbestr. 2F,"Abbrucharbeiten,Tiefbau",Bochum-Günnigfeld,info@thorsten-bydlowski.de,Abbruch Bydlowski Straßen- & Tiefbau,https://www.gelbeseiten.de/gsbiz/9e3a2a91-72f0-4d03-9d76-0946345ac1d2,44866 ,02327 96 01 02
,Karlsfelder Str. 17 a,Abbrucharbeiten,München-Feldmoching,mail@schlager-erdbau.de,Schlager Abbruch & Erdarbeiten GmbH,https://www.gelbeseiten.de/gsbiz/28a43fe6-2f32-4889-98cc-3e73b0556c2d,80995 ,089 3 18 59 81-0
,Wiesenstr. 93,Abbrucharbeiten,Nürnberg-Steinbühl,abbruch-baysal@web.de,Abbruch Baysal,https://www.gelbeseiten.de/gsbiz/4b2c144a-b9c9-48e2-bcbe-1293e8d65a64,90459 ,0911 4 39 25 42
,Dahlmannstr. 33,"Abbrucharbeiten,Entrümpelungen",Frankfurt am Main-Ostend,bodnar-dienstleistungen@web.de,Bodnar Dienstleistungen Inh. Philipp Weber,https://www.gelbeseiten.de/gsbiz/0be8e085-6a01-416a-b923-09143a4487c7,60385 ,069 49 08 35 86
,Konradinstr. 2-3,"Abbrucharbeiten,Betonbohr- und -sägearbeiten",Berlin-Tempelhof,info@dbsgmbh.de,DBS Diamant-Betonbohren und -sägen GmbH,https://www.gelbeseiten.de/gsbiz/ec383c3c-4cb3-4af3-9f2a-2dbd5279cdb6,12105 ,030 7 52 90 39
,Motardstr. 105,"Gebäudereinigung,Abbrucharbeiten",Berlin-Siemensstadt,info@mk-kostic.de,MK Milutin Kostic Gebäudereinigung GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/0c22b66e-fc89-469b-b40e-702891917dcf,13599 ,030 6 92 15 30
,Goethestr. 2,Abbrucharbeiten,Limbach-Oberfrohna,info@abbruch-meissner.de,W. Meißner Bagger- und Abbrucharbeiten GmbH,https://www.gelbeseiten.de/gsbiz/59bda2cc-9db4-4c58-a461-b6cd4685b58f,09212 ,03722 52 75 63
,Zechenstr. 6,"Tiefbau,Abbrucharbeiten",Lugau,pueschmann-abbruch@online.de,Püschmann GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/450746fd-432a-4a67-8683-d3dcba6c430d,09385 ,037295 31 28
,Kiefholzstr. 289,Abbrucharbeiten,Berlin-Baumschulenweg,asbberlin@gmx.de,ASB Abbruch und Sanierungsservice Berlin GmbH,https://www.gelbeseiten.de/gsbiz/b41d999f-a2b7-4bcb-9a79-d2c6f1c34c8c,12437 ,030 53 02 68 85
,Hafenrandstr. 5-6,"Abbrucharbeiten,Container,Schrott",Aschaffenburg-Leider,info@westarp-kg.de,Westarp GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/b96554ec-438a-45e6-a977-325b5ddf7584,63741 ,06021 84 60-0
,Wallensteinstr. 60,Abbrucharbeiten,Nürnberg-Großreuth b Schweinau,celik-abbruch@t-online.de,Celik Abbruch e.K.,https://www.gelbeseiten.de/gsbiz/8b67769d-cf4c-4409-80da-f529bd1b77d5,90431 ,0911 60 05 77 71
,Rudolf-Diesel-Str. 7,"Abbrucharbeiten,Erdbau",Himmelstadt,k.kleider@gmx.de,Abbruch Kleider Karl-Heinz,https://www.gelbeseiten.de/gsbiz/f8f67cfe-415a-4cac-8f6b-69ebc19a96d6,97267 ,09364 61 94
,Marientorgraben 7,"Abbrucharbeiten,Schadstoffsanierungen",Nürnberg-Gleißbühl,info@tadas.de,TADAS Professional Service GmbH,https://www.gelbeseiten.de/gsbiz/57f0d446-7842-4386-bf4f-69e0094c3029,90402 ,0911 1 20 84 40
,Burker Str. 28a,Abbrucharbeiten,Burkau,Klixer-Recycling@t-online.de,Klixer Recycling und Service GmbH,https://www.gelbeseiten.de/gsbiz/2e8fcd46-b711-4e2b-a2aa-d96bd2f9d86f,02625 ,03591 27 47 20
,Boschweg 13,"Gebäudereinigung,Abbrucharbeiten",Berlin-Neukölln,info@abbruchberlin.de,MMG Gebäudeservice GmbH,https://www.gelbeseiten.de/gsbiz/04799536-b78c-4ba0-81ec-fd7e3364c7be,12057 ,030 26 56 87 66
