anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Lugaer Str. 23,Bauunternehmen,Dresden-Niedersedlitz,info@bau-geilsdorf.de,Bau Geilsdorf,https://www.gelbeseiten.de/gsbiz/5680b9d2-2dcc-46f9-a3bb-6d4cec0a6073,01259 ,0351 2 03 13 16
,Münchehofer Weg 48/50,Bauunternehmen,Müncheberg,info@hut-oderbau.de,HuT Oderbau GmbH,https://www.gelbeseiten.de/gsbiz/ef012a80-1db5-4441-bfb9-19000554ae54,15374 ,033432 9 19 25
,Zum Knollbuck 2,Bauunternehmen,Gunzenhausen-Frickenfelden,klaus.feuchtenberger@gmx.de,KF-Bau Feuchtenberger Klaus,https://www.gelbeseiten.de/gsbiz/1a8fa3d3-9a3a-4565-9716-8bc33410cc46,91710 ,09831 8 82 02 66
,Industriestr. 24,Bauunternehmen,Coswig,info@bauhauf.de,BAUHAUF GmbH Hoch- und Tiefbau,https://www.gelbeseiten.de/gsbiz/fc2b669d-04c8-4312-be07-aad8743a47da,01640 ,03523 7 26 31
,Schloßstr. 21,"Innenausbau,Altbausanierungen,Bauunternehmen",Berlin-Tegel,bauperformance@web.de,T.K. Bauperformance GmbH Ingenieurbüro,https://www.gelbeseiten.de/gsbiz/6a10c812-d092-46ff-af5f-2f001c52ad36,13507 ,030 92 28 41 99
,Adam-von-Trott-Str. 7,Bauunternehmen,Berlin-Charlottenburg-Nord,info@anesbau.de,ANES Bauausführungen Berlin GmbH,https://www.gelbeseiten.de/gsbiz/61b24e9f-2ad3-42a8-b149-9fbcf04a836b,13627 ,030 33 30 60
,Moselstr. 5,"Sanierungsarbeiten,Abbrucharbeiten,Ausbaubetriebe",Leverkusen,fa.ademi@t-online.de,Ademi Bauunternehmen,https://www.gelbeseiten.de/gsbiz/44c7deec-0c78-4ad2-94f0-7aaa85c260d2,51371 ,0214 7 46 09
,Sperbersloher Str. 566,Bauunternehmen,Wendelstein,info@schalkbau.de,Schalk Bau - GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/51cc65a6-d25f-4aa1-831d-e74a48777b4d,90530 ,09129 90 29-0
,Neue Siedlung 11,Bauunternehmen,Kolkwitz,bau@allround-wolff.de,ABW Allround Bau Baufachbetrieb Matthias Wolff,https://www.gelbeseiten.de/gsbiz/e933d6c6-6ed2-4b2d-bac3-2554ff45b2c1,03099 ,0355 2 88 48 08
,Schlungwitzer Str. 9b,Bauunternehmen,Obergurig-Schwarznaußlitz,info@dlb-poetschke.de,Dienstleistungsbetrieb Pötschke,https://www.gelbeseiten.de/gsbiz/48a07e7b-2507-48b9-9dee-bc4781709f67,02692 ,035938 98 93 86
,Ludwigskanalstr. 35,Bauunternehmen,Berg-Unterölsbach,info@geitner-bau.de,Geitner Bau GmbH,https://www.gelbeseiten.de/gsbiz/ac6338f6-6d03-429f-bd0b-c02f4ebeb18c,92348 ,09189 4 12 02 91
,Churschütz 26A,Bauunternehmen,Lommatzsch-Churschütz,elschner-hochbau@gmx.de,Bau und Sanierung Elschner GmbH,https://www.gelbeseiten.de/gsbiz/f6d4b212-1295-4b1e-91d1-1fba2a70b2f5,01623 ,035241 8 21 91
,Nibelungenstr. 15,Bauunternehmen,Wendelstein-Röthenbach bei St Wolfgang,info@cfuchs-bau.de,Fuchs Christoph GmbH,https://www.gelbeseiten.de/gsbiz/e44e6d8b-3801-40cb-a77b-cd10b0b4f668,90530 ,09129 9 03-0
,Broichstr. 42,Bauunternehmen,Vettweiß,andreasjahn.bau@gmx.de,Jahn Andreas,https://www.gelbeseiten.de/gsbiz/6e2458bf-22d7-43fd-b46e-20675638c6f7,52391 ,02424 14 41
,Niedernberger Str. 54,Bauunternehmen,Großostheim,ziegerbau@t-online.de,Zieger Karl-Heinz Bau GmbH,https://www.gelbeseiten.de/gsbiz/2c2dd156-b79b-439d-a535-011b616e3ebe,63762 ,06026 67 80
,Libourne-Allee 5b,"Bauunternehmen,Garten- und Landschaftsbau",Schwandorf-Dachelhofen,info@oezkalayci.de,Özkalayci GmbH,https://www.gelbeseiten.de/gsbiz/7aeedd9a-016d-4fb9-81e9-7e2aa32b56fb,92421 ,09431 7 98 55 67
,Dorfstr. 60b,Bauunternehmen,Breydin,helmut@britzke-abbruch.de,"HB Abbruch, Erd- und Wegebau Fank Schmidt",https://www.gelbeseiten.de/gsbiz/26522874-1018-4aa9-93d0-c667b864d7e0,16230 ,033451 55 79 79
,Wildmeisterdamm 253,"Bauunternehmen,Pfahlgründungen,Rammarbeiten",Berlin-Buckow,info@wendt-grundbau.de,Wendt Grundbau GmbH,https://www.gelbeseiten.de/gsbiz/d3e924b1-3062-4330-9bd5-e1b8d12d223c,12353 ,030 6 09 70 80
,Bessemerstr. 22,Bauunternehmen,Berlin-Schöneberg,info@tesche-bau.de,Tesche Baugesellschaft mbH,https://www.gelbeseiten.de/gsbiz/ccc59a52-abdf-4d3a-b050-5420160657c3,12103 ,030 70 18 99 43
,Hechelstr. 46,Bauunternehmen,Berlin-Reinickendorf,ep@alpina-bau.berlin,ALPINA Bau GmbH,https://www.gelbeseiten.de/gsbiz/62dcaac2-e0e7-41d5-9a79-f72000441541,13403 ,030 41 40 12 85
,Circus-Roncalli-Weg  1,Bauunternehmen,Köln,heinz-weingarten@t-online.de,Weingarten Bauunternehmung GmbH,https://www.gelbeseiten.de/gsbiz/b9cf1856-680e-450b-a7e0-f4ec9aeec213,51063 ,0221 60 80 62
,Mintrachinger Str. 5,"Bauunternehmen,Asphalt,Beton",Mintraching-Mangolding,info@guggenberger-bau.de,Guggenberger GmbH,https://www.gelbeseiten.de/gsbiz/b596f7cc-66e9-4082-84a8-fed386da4081,93098 ,09406 28-0
,Kraftwerkstr. 45,Bauunternehmen,Spremberg-Trattendorf,info@hoch-tiefbau-noack.de,Baubetrieb für Hoch- und Tiefbau Roland Noack,https://www.gelbeseiten.de/gsbiz/d40b7c86-6cb7-43d1-85a5-7d7044c354e7,03130 ,03563 34 48 27
,Prenzlauer Chaussee 110,Bauunternehmen,Wandlitz,info@turnkey-wandlitz.de,TURN KEY GmbH,https://www.gelbeseiten.de/gsbiz/baed4070-e4e5-4a49-8133-6aa13c8ed034,16348 ,033397 60 06 00
,Lindenweg 2,Bauunternehmen,Dresden-Gönnsdorf,info@baz-zwicker.de,Baubüro Axel Zwicker GmbH,https://www.gelbeseiten.de/gsbiz/bfeab30e-529f-4a12-8f1f-a2047d92a4c0,01328 ,0351 2 51 22 38
,Grünauer Str. 12,"Bauunternehmen,Altbausanierungen",Berlin-Köpenick,sanierung@niwobau.de,Bauausführungen NiWoBau GmbH,https://www.gelbeseiten.de/gsbiz/14df39b8-db3e-4b69-aa29-89753c5d94da,12557 ,030 54 83 77 04
,Heinrich-Strünker-Str. 8,"Bauunternehmen,Abbrucharbeiten,Baggerarbeiten",Bergisch Gladbach,info@struenker.de,Heinrich Strünker GmbH,https://www.gelbeseiten.de/gsbiz/b0083a31-c457-45cd-840d-48f40fbae827,51469 ,02202 1 88 60
,Buckower Chaussee 100,Bauunternehmen,Berlin-Marienfelde,buero@bs-gm.de,BS Wohn + Gewerbebau GmbH,https://www.gelbeseiten.de/gsbiz/1a0ebb02-4cfd-4270-bf5d-e3938404116a,12277 ,030 72 01 41 82
,In der Wüste 31,Bauunternehmen,Leverkusen,info@step-to-home.de,step-to-home oHG ,https://www.gelbeseiten.de/gsbiz/f0c99d57-64b5-45f6-8d3c-4412b53f5b1f,51381 ,02171 3 62 62 48
,Oberaltenallee 20A,"Fassadensanierung,Abbeizarbeiten,Abbrucharbeiten",Hamburg-Uhlenhorst,info@buterfas.de,Buterfas & Buterfas GmbH & Co.,https://www.gelbeseiten.de/gsbiz/ede931d3-0e27-440f-ada4-6665fc73f6a3,22081 ,040 2 29 55 00
,Bahnhofstr. 22b,Bauunternehmen,Doberlug-Kirchhain,eichstaedt@eichstaedtbau.de,BU Frank Eichstädt GmbH,https://www.gelbeseiten.de/gsbiz/6fd9f08f-8d15-4af9-a702-7404e63abe45,03253 ,035322 55 20
,Konrad-Zuse-Ring 13,"Bauunternehmen,Hallenbau",Potsdam-Nauener Vorstadt,info@kramke-bau.de,Kramke Baugesellschaft mbH,https://www.gelbeseiten.de/gsbiz/3ce310bc-efb8-4728-9ec7-815e31fce817,14469 ,0331 5 05 83 60
,Pappelstr. 35,Bauunternehmen,Eggersdorf-Nord,info@frahm-bau.de,Baugesellschaft Frahm GmbH,https://www.gelbeseiten.de/gsbiz/0cba5c5e-aa86-4d3e-a51d-5268c704890e,15345 ,03341 31 18 00
,Brühlwiese 2,Bauunternehmen,Fronreute-Fronhofen,info@schnetz-gmbh.de,Schnetz GmbH - Zimmerei u. Bauunternehmen,https://www.gelbeseiten.de/gsbiz/6c2692b2-b259-4413-8f7b-4f0877272319,88273 ,07505 2 89
,Giebel 33,Bauunternehmen,Wuppertal-Vohwinkel,info@orfbau.de,Orf,https://www.gelbeseiten.de/gsbiz/efedf8a8-7aee-46a9-9098-10d8664ad9fb,42327 ,0202 43 67 39
,Wirsingstr. 15,Bauunternehmen,Schweinfurt-Bergl,info@gloeckle-bau.de,Glöckle Bauunternehmung Holding GmbH,https://www.gelbeseiten.de/gsbiz/ea824c24-37c4-40dc-94bf-657cacfd654d,97424 ,09721 80 01-0
,Im Teelbruch 128,"Balkonsanierungen,Bauunternehmen,Stuckateurbetriebe",Essen-Kettwig,info@astraplan.de,astraplan GmbH Bauunternehmen & Stuckateurbetrieb,https://www.gelbeseiten.de/gsbiz/89ed80bd-3218-4656-b58c-34b5fb0ddfbe,45219 ,0201 6 16 75 85
,Winklerstr. 5,Bauunternehmen,Nürnberg-Sebald,info@firmengruppe-cfuchs.de,Bieber Georg GmbH,https://www.gelbeseiten.de/gsbiz/e6e5fea4-b213-4662-8e71-25d7c655d696,90403 ,09129 9 03-0
,Rabenweg 9,Bauunternehmen,Gerstetten-Heldenfingen,info@schluff-bau.de,Schluff GmbH Bauunternehmung,https://www.gelbeseiten.de/gsbiz/077eac45-1835-42d3-8763-8fbbd2472b05,89547 ,07323 45 56
,Am Wietzestrand 35,"Bauunternehmen,Altbausanierungen",Wedemark-Bissendorf,info@göhrich.de,Göhrich - Ambiente anderer Art,https://www.gelbeseiten.de/gsbiz/c2184a29-7f4e-4179-8965-89d2df1ca029,30900 ,0511 10 58 53 90
