anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Friedrich-Engels-Str. 10,Containerdienste,Rehfelde,info@container-opitz.de,Opitz GmbH,https://www.gelbeseiten.de/gsbiz/bcd3f3fd-041d-4766-98af-c95753dc8278,15345 ,033435 15 78-0
,Römerstr. 1,"Containerdienste,Container",Hürth,hallo@hallocontainer.de,hallocontainer.de,https://www.gelbeseiten.de/gsbiz/ba56eab4-7b61-4aa8-9c60-d0835d6e698e,50354 ,02233 80 80 00
,Am Goldenen Feld 31,"Containerdienste,Entsorgungsbetriebe,Recycling",Kulmbach,dispo@trapper-kulmbach.de,Trapper Recycling GmbH,https://www.gelbeseiten.de/gsbiz/28375f82-35ce-4621-bcc4-9ecf8779769d,95326 ,09221 90 69-0
,Poller Holzweg 12,"Containerdienste,Abbrucharbeiten,Container",Köln,gaby.porschen@t-online.de,Containerdienst Porschen,https://www.gelbeseiten.de/gsbiz/80eb5fcd-0bdd-4960-832b-fb1d0642cd2b,51105 ,0221 6 80 46 30
,Rödgerheidweg 34,"Asbestsanierung und -entsorgung,Autokrane,Kranarbeiten",Aachen,info@wertz.de,WERTZ Autokrane GmbH & Co. Transporte KG,https://www.gelbeseiten.de/gsbiz/3ae53a84-4153-4f3e-93f7-287f9799211d,52068 ,0241 55 50 20
,Wahlenstr. 10,"Entrümpelungen,Containerdienste,Haushaltsauflösungen",Köln,altraeucher@netcologne.de,Alträucher GmbH,https://www.gelbeseiten.de/gsbiz/6c9231f6-ba04-497a-a151-e63a003d6c90,50823 ,0221 51 22 46
,Buchholzstr. 48,"Containerdienste,Abbrucharbeiten",Köln,info@containerloewe.de,Containerdienst Löwe Köln GmbH,https://www.gelbeseiten.de/gsbiz/6280c89c-61a2-4c18-9102-fe484ebf17c7,51061 ,0221 16 99 84 71
,Flagentwiet 25,"Abfallentsorgung,Abfallwirtschaft,Aktenvernichtung",Hamburg-Schnelsen,info@freisler.com,Freisler Containerdienst GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/6e83fabe-27a7-4669-8b05-da223142394b,22457 ,040 5 50 89 70
,Im Hasseldamm 6A,"Containerdienste,Container",Korschenbroich-Kleinenbroich,h.g.radke@t-online.de,Container Radke,https://www.gelbeseiten.de/gsbiz/2e6f329a-4cb1-42d3-b578-539414154046,41352 ,02161 6 76 14
,Taxetstr. 3,"Schrott,Containerdienste,Entsorgungsbetriebe",Kirchheim-Heimstetten,info@preimesser.de,Preimesser Recycling-Fachbetrieb,https://www.gelbeseiten.de/gsbiz/5685e909-c33b-4662-85a1-0384e7a975f5,85551 ,089 99 18 82-0
,Truderinger Str. 23,"Entsorgungsbetriebe,Containerdienste",München-Bogenhausen,buero@schutt-karl.com,Abfallentsorgung Schutt - Karl GmbH,https://www.gelbeseiten.de/gsbiz/a358a7c2-2d61-47dc-a331-4507d4864d3e,81677 ,089 41 61 70 50
,Exterbruch 3,Containerdienste,Gelsenkirchen-Ückendorf,efb.kemper@gelsennet.de,"Entsorgungsfachbetrieb,  Containerdienst und Wertstoffrecycling  Kemper GmbH",https://www.gelbeseiten.de/gsbiz/6c9788f7-d6d3-4285-8253-b71dce544a46,45886 ,0209 14 62 05
,Schlehdornweg 17,"Containerdienste,Container,Entsorgungsbetriebe",Nürnberg-Werderau,info@walter-container.de,Walter Thomas,https://www.gelbeseiten.de/gsbiz/b35bdd22-46ee-409d-9569-0bba716acadc,90441 ,0911 42 64 63
,Hammermühle 29,"Containerdienste,Container,Rohrreinigung",Overath,info@hoffmann-entsorgung.de,Hoffmann Entsorgungs- und Reinigungs GmbH,https://www.gelbeseiten.de/gsbiz/fadedfed-f953-4d4b-a66a-4b88a13ff2be,51491 ,02241 33 62 21
,Werner Hellweg 409,Containerdienste,Bochum-Werne,info@containerdienst-oschmann.de,Containerdienst Oschmann OHG,https://www.gelbeseiten.de/gsbiz/de220ad6-cb82-4dfe-9a50-b41c3faa7219,44894 ,0234 28 72 70
,Bahnweg 5,Containerdienste,Olching-Graßlfing,roewo.gmbh@gmail.com,Röwo Containerdienst,https://www.gelbeseiten.de/gsbiz/9e185b23-b8d5-414a-a13a-d4fcbb4f0c12,82140 ,08142 4 90 91
,Dachauer Str. 535,"Container,Containerdienste",München-Moosach,info@breitsamer.com,Breitsamer,https://www.gelbeseiten.de/gsbiz/7f2f0793-1f34-4ac6-aef5-efd0f051484e,80993 ,089 30 90 98 90
,40629 ,"Containerdienste,Container,Entsorgungsbetriebe","
					",info@muellercontainer.de,Containerdienst Müller,https://www.gelbeseiten.de/gsbiz/dd273d02-84c9-40c2-94a5-c57e95994e51,Düsseldorf,0211 44 20 49
,Siemensstr. 10,Entrümpelungen,Unterschleißheim-Lohhof,info@acv-container.de,A.C.V. Containerverleih GmbH,https://www.gelbeseiten.de/gsbiz/ce44350b-21a4-4437-a328-0c36113f4672,85716 ,089 3 68 15 50
,Eichenrain 15,Containerdienste,Schmalkalden,info@ssr-gmbh.de,Schmalkalden Stadtreinigung GmbH,https://www.gelbeseiten.de/gsbiz/84dda0c6-2821-439f-99c5-9714769e72dd,98574 ,03683 69 29-0
,Kindleber Str. 188,Containerdienste,Gotha,info@stawigo.de,Stadtwirtschaft Gotha GmbH,https://www.gelbeseiten.de/gsbiz/cc1bffbf-50b9-4534-95ef-1b12ed474834,99867 ,03621 5 10 32-0
,Eichenallee 1,Containerdienste,Hünxe,info@nottenkaemper.de,Nottenkämper Umweltdienste GmbH,https://www.gelbeseiten.de/gsbiz/1a1e5c80-5e61-4f1f-95b6-00c1d9673975,46569 ,02853 9 56 90-0
,Schlattwiesen 16,"Schrott,Containerdienste,Entsorgungsbetriebe",Ofterdingen,info@mbaers-rohstoffhandel.de,MBärs Rohstoffhandel GmbH,https://www.gelbeseiten.de/gsbiz/7568e37f-7dc3-485a-bd89-6b046f993fbb,72131 ,07473 37 82 78-0
,Lohmühlenweg 20,Containerdienste,Stadtilm,cbr_gmbh@t-online.de,CBR GmbH,https://www.gelbeseiten.de/gsbiz/2aad848f-0c2b-415a-8132-99a08cbc4d94,99326 ,03629 80 23 28
,Rösickestr. 17,Containerdienste,Ruhla-Thal,fries-gmbh-thal@t-online.de,Fries Dach- und Fassadenbau GmbH,https://www.gelbeseiten.de/gsbiz/be36c521-ef52-4619-bac7-af5e5ff75d60,99842 ,036929 8 81 82
,Auf der Struth 1,Containerdienste,Amt Creuzburg OT Mihla,service@nowatzky.de,Nowatzky GmbH,https://www.gelbeseiten.de/gsbiz/fcfbcbf7-ae76-4d5d-8cdb-6177d9179537,99831 ,036924 4 21 78
,Am Eichbach 8,Containerdienste,Teistungen,info@falk-wedekind.de,Containerdienst Falk Wedekind,https://www.gelbeseiten.de/gsbiz/647221c4-8b65-41c2-97e7-c1aeecea2e38,37339 ,036075 5 35 55
,Thomas-Müntzer-Siedlung,Containerdienste,Schmölln-Sommeritz,info@containerdienst-seyfarth.de,CdS Containerdienst Seyfarth GmbH,https://www.gelbeseiten.de/gsbiz/cdd700f5-7a3f-4901-8f8e-cfa1e7796f1d,04626 ,034491 55 20-0
,Alperstedter Str. 8,Containerdienste,Erfurt-Stotternheim,info@container-loth.de,Abfallentsorgung Container Loth GmbH,https://www.gelbeseiten.de/gsbiz/d4278902-8667-4b87-a6e0-45e9144c66e6,99095 ,036204 55 60
,Kohlenweg 1,Containerdienste,Dortmund-Mitte,dispo-dortmund@remondis.de,REMONDIS GmbH & Co. KG Niederlassung Dortmund,https://www.gelbeseiten.de/gsbiz/6e74f014-dceb-4c2f-b2ff-f80a1d0fbfcf,44147 ,0231 1 08 73-3 00
,Polderstr. 107,Containerdienste,Bottrop-Welheimer Mark,info@linke-bottrop.de,LINKE GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/61aee3b6-f9bc-415c-952f-3898d36c3650,46238 ,02041 6 46 66
,Werkstr. 4,"Containerdienste,Container",Bottrop-Eigen,info@container-knuemann.de,Containerdienst Knümann Hubert sen. Transporte und Containerdienst OHG,https://www.gelbeseiten.de/gsbiz/ad75732a-99f9-446b-8621-da7240bfd8bb,46240 ,02041 9 63 18
