anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Lankwitzerstr. 9,"Erdbau,Abbrucharbeiten",Berlin-Mariendorf,info@vat-abbruch.de,VAT Viktor-Abbruch-Technik GmbH,https://www.gelbeseiten.de/gsbiz/f1b14de8-a518-4f60-87f1-543ec05c4d92,12107 ,030 63 41 30 40
,Döberitzer Str. 65,Erdbau,Falkensee,info@sahr-erdbau.de,"SAHR ERDBAU, Inh. Frank Mödebeck",https://www.gelbeseiten.de/gsbiz/a8d4da76-f2ad-4e37-86dd-46a8c1245beb,14612 ,033232 3 94 72
,Rathausstr. 49,Erdbau,Wörth,kontakt@ulimerkle.de,Ulrich Merkle,https://www.gelbeseiten.de/gsbiz/7ac8f8f4-88f7-4d9b-95ce-26e78fe9cd50,63939 ,09372 9 48 55 92
,Am Mühlenweg 20,Erdbau,Ketzin,firma.liepe@t-online.de,LIEPE Erdbau-Abbruch & Transport,https://www.gelbeseiten.de/gsbiz/e391871b-c757-46db-82e6-cbdb8e1a8d6d,14669 ,033233 8 51-0
,Im Grein 19,"Asbestsanierung und -entsorgung,Baumaschinenvermietung,Container",Landau in der Pfalz,info@baumann-landau.de,Baumann Rohstoff-Recycling GmbH,https://www.gelbeseiten.de/gsbiz/33c964da-868e-4d87-a4d5-38b30198b16e,76829 ,06341 93 31 33
,Gartenstr. 11,"Bauschuttbeseitigung,Bauunternehmen,Container",Großlittgen,info@josef-schmitz.de,Schmitz Service und Logistik OHG,https://www.gelbeseiten.de/gsbiz/356db1a4-bc55-4c34-9c83-6fd6e776c82c,54534 ,06575 41 63
,Berliner Str. 4,Erdbau,Velten,dunkel@dunkel.berlin,DUNKEL GmbH & Co. KG - Erdbau - Abbruch - Altlastensanierung,https://www.gelbeseiten.de/gsbiz/42b24cbc-8dcb-4479-ab99-7ee07f1c80cf,16727 ,03304 3 99 10
,Rudolf-Diesel-Str. 7,"Abbrucharbeiten,Erdbau",Himmelstadt,k.kleider@gmx.de,Abbruch Kleider Karl-Heinz,https://www.gelbeseiten.de/gsbiz/f8f67cfe-415a-4cac-8f6b-69ebc19a96d6,97267 ,09364 61 94
,Hauptstr. 45,"Tiefbau,Baggerarbeiten,Erdbau",Neukirchen,info@erd-bau.de,T & E Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/9b9a9f79-1c08-4878-91bc-05c8277a1573,08459 ,03762 4 22 56
,Haynauer Str. 65-67,Erdbau,Berlin-Lankwitz,info@kummer-erdbau.de,Kummer Erd- und Tiefbau GmbH,https://www.gelbeseiten.de/gsbiz/3523b8ec-fa36-4a3a-853c-f104f136c601,12249 ,030 7 75 20 41
,Nibelungenweg 13/15,"Erdbau,Abbrucharbeiten,Baggerarbeiten",Hannover-Badenstedt,abbruchunternehmen_doepke@yahoo.de,Döpke GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/3f872bb5-2887-4341-bda0-ebfa06e1891b,30455 ,0511 49 65 00
