anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,96465 ,Brennholz,"
					",colt1@necnet.de,Sievers Uwe Holztransport,https://www.gelbeseiten.de/gsbiz/71602716-28b2-4b86-aad2-f81319c93389,Neustadt,0171 6 98 38 15
,Siemensstr. 3,Autoreparaturen,Haßfurt,info@heinisch-kfz.de,Heinisch Holztransport & KFZ-Service GmbH,https://www.gelbeseiten.de/gsbiz/8a9d8d7e-8046-4706-919f-009325b446bc,97437 ,09521 12 20
,Angermünder Str. 11B,Transporte,Althüttendorf,dispo@ssh-transporte.de,SSH Schorfheider Schwerlast-und Holztransporte GmbH,https://www.gelbeseiten.de/gsbiz/4945da47-d511-4a48-af75-6a1ffca5794e,16247 ,033361 4 18
,Angermünder Str. 11b,Transporte,Althüttendorf,dispo@ssh-transporte.de,Schorfheider Schwerlast- und Holztransporte,https://www.gelbeseiten.de/gsbiz/8c68a3e8-4051-4f2f-ad5e-793ee311cab3,16247 ,0173 7 19 03 78
,Aggensteinstr. 16,"Brennholz,Holztransporte",Buchloe-Lindenberg,christian-grasser@gmx.de,Grasser Holztransporte,https://www.gelbeseiten.de/gsbiz/3df01977-7896-4057-b3da-72188eacce41,86807 ,08241 91 90 99
,Donaustr. 29,Holz und Holzwaren,Mengen,info@koenig-holzhandel.de,Herbert Christian König Holztransport-Holzhandel,https://www.gelbeseiten.de/gsbiz/65960afc-013b-4e30-a7ef-66bf7632c4a0,88512 ,07572 7 69 55 00
,Greuthaustr. 11,Transporte,Lichtenstein-Honau,glueckholztransporte@online.de,Glück GmbH Holztransporte,https://www.gelbeseiten.de/gsbiz/2b442ad1-203a-48d6-b21d-c218fa4d0f55,72805 ,07129 31 55
,Am Weisgraben 1,Holz und Holzwaren,Burghaun,gerbig@holztransport.net,Gerbig Holztransporte GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/6b054aa7-fea9-4a61-b7cb-1467e99286bc,36151 ,06653 7 16
,Am Sägebach 7,Transporte,Ostrach-Einhart,franz@rundumsholz-benz.de,Franz Benz Holztransporte,https://www.gelbeseiten.de/gsbiz/a0bf16ce-e231-4a39-b76c-17f97aa6b277,88356 ,07585 24 47
,Gemeindeplatz 4,Transporte,Bockau,Friedrich-Holztransporte@t-online.de,Friedrich Thomas Holztransporte,https://www.gelbeseiten.de/gsbiz/3b39baee-c19e-476f-ad75-ad894ee0e469,08324 ,03771 47 97 38
,Hofweg 51,Transporte,Gemünden a.Main,info@ditterich-holz.de,Ditterich Holztransporte,https://www.gelbeseiten.de/gsbiz/df9a9d50-4137-418c-bfdf-a1e6e3e111c5,97737 ,09351 60 02 70
