anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Lebacher Str. 169,Kanalreinigung,Saarbrücken-Malstatt,kanalreinigung_gramsch@t-online.de,Gramsch Adrian Abfluss- und Kanalreinigung,https://www.gelbeseiten.de/gsbiz/a5205947-8346-43ea-bb69-53c42efedc3c,66113 ,0681 7 54 02 96
,Hauptstr. 26a,"Rohrreinigung,Abflussreinigung,Kanalreinigung",Wernersberg,info@mueller-karotec.de,Thomas Arnold Müller KARO-Tec UG,https://www.gelbeseiten.de/gsbiz/2a18ff9d-dcd1-4a06-adae-d3195125141c,76857 ,06341 1 41 45 98
,78462 ,"Rohrreinigung,Kanalreinigung","
					",info@rohrreinigung-kapp.de,Abwassertechnik - Kapp,https://www.gelbeseiten.de/gsbiz/fac274a8-5e07-4515-af3a-473a71afe940,Konstanz,07531 95 59 66
,Hinterm Bahnhof 6,Kanalreinigung,Zirndorf,info@ada-kanal.de,A D A Kanal- u. Rohrreinigung,https://www.gelbeseiten.de/gsbiz/e0356414-716a-444f-9adc-eb6418e851e8,90513 ,08000 77 36 38
,72488 ,"Rohrreinigung,Kanalreinigung","
					",info@rohrreinigung-kapp.de,Abwassertechnik - Kapp,https://www.gelbeseiten.de/gsbiz/e017b465-2383-4e21-82f4-6b607267557f,Sigmaringen,07571 68 20 40
,72760 ,"Rohrreinigung,Kanalreinigung","
					",info@rohrreinigung-kapp.de,Abwassertechnik - Kapp,https://www.gelbeseiten.de/gsbiz/a4b364ae-c882-45c0-b0dd-baf1149fa52e,Reutlingen,07121 37 05 33
,Hofstattstr. 178,Kanalreinigung,Völklingen-Stadtmitte,info@kanal-scherf.de,"ABROKA SCHERF GMBH Abfluss-, Rohr-, Kanalreinigung / Kanalsanierung",https://www.gelbeseiten.de/gsbiz/6166147a-da99-4a1e-9467-496a3e188f57,66333 ,06898 9 11 70
,An de Wurth 6,"Kanalreinigung,Abwassertechnik,Kanalsanierung",Felm,info@abwassertechnik-kapp.de,Abwassertechnik-Kapp Inh. Dominic Kapp,https://www.gelbeseiten.de/gsbiz/eda24ca6-dd06-4bc6-8237-8339931a7580,24244 ,04331 4 38 05 22
,An de Wurth 6,"Kanalreinigung,Abwassertechnik,Kanalsanierung",Felm,info@abwassertechnik-kapp.de,Abwassertechnik-Kapp Inh. Dominic Kapp Rohrreinigung,https://www.gelbeseiten.de/gsbiz/f91b27c6-a2c6-4431-b113-5a3898ad2b19,24244 ,04522 7 44 55 92
,An de Wurth 6,"Kanalreinigung,Abwassertechnik,Kanalsanierung",Felm,info@abwassertechnik-kapp.de,Abwassertechnik-Kapp Inh. Dominic Kapp,https://www.gelbeseiten.de/gsbiz/b29e02bc-317b-491f-87b8-ebce6b162467,24244 ,04351 7 69 58 50
