anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Zinzendorf 32,"Abbrucharbeiten,Bauschuttrecycling,Beton",Wörth-Zinzendorf,info@franz-beil.de,Beil Franz,https://www.gelbeseiten.de/gsbiz/39e379d7-8ab6-4ea6-aeb4-7d68246c1d0b,93086 ,09482 9 01 99
,Am Bruch 45,Sand und Kies,Weeze-Wemb,info@welbers-kieswerke.de,Welbers Kieswerke GmbH,https://www.gelbeseiten.de/gsbiz/cf859fa0-aac1-427f-83b1-6445e004c61a,47652 ,02837 75 86
,Quirinusstr. 33,Sand und Kies,Kevelaer-Twisteden,info@welbers-kieswerke.de,Welbers Kieswerke GmbH,https://www.gelbeseiten.de/gsbiz/32fc1a87-88f6-4fd6-a94b-92adc1bea6c7,47624 ,02832 60 28
,Rosenhofer Str. 25,"Abbrucharbeiten,Sand und Kies",Mintraching,mail@geser-gmbh.de,Geser GmbH,https://www.gelbeseiten.de/gsbiz/897797cd-3f5e-4287-ae0d-01b043ac97a0,93098 ,09406 9 40 70
,Hartefelder Dyck 20,Sand und Kies,Geldern-Hartefeld,info@welbers-kieswerke.de,Welbers Kieswerke GmbH,https://www.gelbeseiten.de/gsbiz/2905de1c-5200-4e22-9ee8-577823a4c05c,47608 ,02831 55 57
,Am Bahnhof 14,"Erdbau,Abbrucharbeiten,Aushubverwertung",Wiesentheid,weiglein@kwk-transporte.de,KWK Transporte GmbH,https://www.gelbeseiten.de/gsbiz/157c1e34-1061-4204-b921-96243e2e61e7,97353 ,09383 3 37
,Gochsheimer Landstr.,Sand und Kies,Grafenrheinfeld,baustoffwerke@gloeckle-bau.de,Glöckle Baustoffwerke GmbH,https://www.gelbeseiten.de/gsbiz/75877939-819e-409b-9bfb-68e85720f61f,97506 ,09721 80 01-6 40
,Piccardstraße 8A,"Beton,Sand und Kies",Augsburg-Universitätsviertel,info@rennig-beton.de,RENNIG BETON GmbH & Co.,https://www.gelbeseiten.de/gsbiz/b46808d9-6b08-47f2-b88d-d09ac777423d,86159 ,0821 5 97 28-0
,Wolkersdorfer Berg 1A,Sand und Kies,Schwabach,info@maringer-sandwerke.de,Maringer GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/d72fe3f0-0278-43da-8bbe-eac685e7358f,91126 ,0911 6 32 71 34
,Meederweg 6,Sand und Kies,Meeder-Neida,resch-transporte@t-online.de,Resch Transporte,https://www.gelbeseiten.de/gsbiz/31450f27-6955-4611-b0f3-e0b8cf36f2be,96484 ,09566 92 28-0
,In der Loh 20A,Sand und Kies,Meerbusch-Lank-Latum,frangen-gmbh@t-online.de,"Frangen Fuhrunternehmen,, Erdbewegung GmbH",https://www.gelbeseiten.de/gsbiz/bbe096e4-5283-48e3-9866-151c4d2b275f,40668 ,02150 91 24 80
,Kieswerk Trieb,Sand und Kies,Lichtenfels,info@kiesgewinnung-schramm.de,Kiesgewinnung Heinrich Schramm,https://www.gelbeseiten.de/gsbiz/4e5af392-811f-489d-8656-32bb0dfd75b8,96215 ,09574 62 28-0
,Vogelsang 16A,"Abbrucharbeiten,Sand und Kies,Tiefbau",Ascheberg,dobbertin-ascheberg@t-online.de,Dobbertin Erdarbeiten GmbH,https://www.gelbeseiten.de/gsbiz/4118dd56-0c34-436b-95ca-234dad94708e,24326 ,04526 18 42
,Am Klinkerhafen 1,"Transportbeton,Naturstein,Sand und Kies",Oranienburg,info@havelbeton.de,Havelbeton GmbH & Co.KG - Beton - Sand - Kies - Naturstein,https://www.gelbeseiten.de/gsbiz/94d3439b-555d-42c3-b27b-2b55a602c411,16515 ,03301 8 19 50
,Boxlund 999A,"Sand und Kies,Containerdienste,Transporte",Viöl,dohle-boxlund@t-online.de,Dohle GmbH Kiesgrubenbetrieb,https://www.gelbeseiten.de/gsbiz/717b6b73-93f9-4c0a-a513-d193027f9da2,25884 ,04843 3 02
,Bredstedter Str. 2,"Mutterboden,Sand und Kies",Handewitt-Hüllerup,info@kieswerk-bahnsen.de,Bahnsen Martin KG Kieswerk Schotterwerk,https://www.gelbeseiten.de/gsbiz/9b1d8f1e-f138-49c0-aef4-3f93e6ac21a9,24983 ,04630 52 10
,Petersbrunner Str. 4a,"Recycling,Abbrucharbeiten,Erdbau",Starnberg,info@sedlmaier-gmbh.com,Sedlmaier Anton GmbH,https://www.gelbeseiten.de/gsbiz/90461be8-996a-4c77-927d-eb0adf56e414,82319 ,08151 8 98 33
,Spielberg 1,"Tiefbau,Abbrucharbeiten,Container",Eiselfing-Spielberg,info@zosseder.de,Zosseder GmbH,https://www.gelbeseiten.de/gsbiz/297f7db2-f492-410d-8fd2-30cb2106df13,83549 ,08071 92 79-0
,Ratiborer Str. 8,"Transporte,Containerdienste,Entsorgungsbetriebe",Waldkraiburg,info@schuster-waldkraiburg.de,Schuster GmbH,https://www.gelbeseiten.de/gsbiz/ce6470eb-ec88-4988-b819-660f7f9d8de4,84478 ,08638 27 18
,Kleeham 9,"Containerdienste,Abbrucharbeiten,Recycling",Chieming-Kleeham,info@lampersberger.de,Lampersberger GmbH,https://www.gelbeseiten.de/gsbiz/5324c0a6-5a22-4680-84e0-0c15fdece7a8,83339 ,08664 98 35-0
,Buchloer Str. 8,"Containerdienste,Abbrucharbeiten",Landsberg,kolhoefer.bau@t-online.de,RK Umwelt GmbH,https://www.gelbeseiten.de/gsbiz/a287cdf7-2f23-49ee-93a3-c668b209903d,86899 ,08191 32 09-0
,Gewerbegebiet Greimharting 2,"Tiefbau,Erdbau,Kanalbau",Rimsting-Greimharting,kies@heindl-rimsting.de,Heindl Georg GmbH,https://www.gelbeseiten.de/gsbiz/aa747abe-1143-4326-ae96-b703e5e66e66,83253 ,08051 50 99
,Wimpasing 1,"Transportbeton,Abbrucharbeiten,Beton",Saaldorf-Surheim-Wimpasing,office@moosleitner.eu,Moosleitner,https://www.gelbeseiten.de/gsbiz/c46c2c29-586b-4eed-9dff-f14ecd338c4e,83416 ,08654 47 34-0
,Hermesberg 18,Sand und Kies,Mönchengladbach-Broich,info@sand-cremer.de,Cremer,https://www.gelbeseiten.de/gsbiz/176ea27d-44cd-4afa-86c4-50447ce8464a,41179 ,02161 89 97 73
,An der Koppel 3,Sand und Kies,Alzenau-Hörstein,service@volz-und-herbert.de,Volz und Herbert GmbH,https://www.gelbeseiten.de/gsbiz/6c788eb5-a6ec-4880-885a-7a7442b18eb6,63755 ,06023 13 49
,Gladbacher Str. 37,"Erdbau,Abbrucharbeiten,Baggerarbeiten",Heinsberg,info@tenzer.de,Tenzer A. GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/7c06b73d-cc12-40d2-9003-cda306bdea26,52525 ,02452 9 50 10
