anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Niedernheede 14,Transporte,Breckerfeld,info@bohmer.de,Bohmer Manfred Milchtransport,https://www.gelbeseiten.de/gsbiz/1d38ed3a-b441-44ee-b8e5-869ee1823a7d,58339 ,0171 7 33 85 76
,Brinkstegge 18,Transporte,Bocholt-Mussum,mtn@dm-eichenauer.de,Milchtransporte Niederrhein GmbH,https://www.gelbeseiten.de/gsbiz/28a50925-9fa0-4c13-b6dd-612daf373ec0,46395 ,02871 9 91 68 13
,Holbeinstr. 35,Transporte,Plauen-Südvorstadt,w.kessel@lang-trans.de,Lang Milchtransporte Landwirtschaftlicher Transport,https://www.gelbeseiten.de/gsbiz/c566d7e2-d3ae-448b-9f71-5f741a6bc105,08527 ,03741 13 70 29
,Hersfelder Str. 9,Transporte,Hünfeld,info@krieg-transporte.de,Krieg Jürgen,https://www.gelbeseiten.de/gsbiz/79105290-e174-49db-93cf-bbb69af6f12a,36088 ,06652 24 35
,Heideland-Süd 21,Speditionen,Handewitt-Weding,info@spedition-oehler.de,Oehler Ove Spedition GmbH & Co.KG,https://www.gelbeseiten.de/gsbiz/ff23fd89-3691-4782-b84c-f0c93cd8aac8,24976 ,"
						
					"
,Hohenwart 6,Heizöle,Neufraunhofen-Hohenwart,info@maier-heizoel.de,Maier Siegfried Mineralölhandel GmbH,https://www.gelbeseiten.de/gsbiz/022b98b1-1711-40bc-bb2c-1015df00df14,84181 ,08742 5 83
,Landsberger Str. 28,Transporte,Rott,transport@gloeckler-rott.de,Glöckler,https://www.gelbeseiten.de/gsbiz/83484897-9852-4899-b17f-be7faef4d991,86935 ,08869 2 57
,Sportplatzstr. 14,Transporte,Eberfing-Untereberfing,georg-burkart@t-online.de,Burkart Georg,https://www.gelbeseiten.de/gsbiz/3316278f-4d8c-4ba6-a01a-7143d58f570b,82390 ,08802 12 37
,Dresdener Str. 9,Transporte,Steffenberg-Niedereisenhausen,ctheiss2305@aol.com,Theiss Milchtransporte GmbH,https://www.gelbeseiten.de/gsbiz/0df79633-bab5-4618-b2d9-e3609b678c07,35239 ,06464 70 45
,Carl-Benz-Ring 5,Transporte,Erftstadt,ohrem.transporte@t-online.de,Ohrem Dietmar Milchtransporte,https://www.gelbeseiten.de/gsbiz/efa16099-0068-4bad-91f1-35e61035351b,50374 ,02235 6 85 34 66
