anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Forstbachstr. 42,Container,Hilden,info@willi-juentgen.de,Containerdienst Jüntgen,https://www.gelbeseiten.de/gsbiz/0d0af788-1c9e-40ee-8aee-1d73009774dc,40723 ,02103 6 94 00
,Freistr. 14,"Brennstoffe,Heizöle",Schkeuditz-Glesien,info@rabeoel.de,Brennstoffhandel u. Fuhrbetrieb Frank Rabe,https://www.gelbeseiten.de/gsbiz/e70b447b-c5d7-457a-8a6b-b5a2bc32accc,04435 ,034207 4 13 75
,Rheinstr. 104,Transporte,Vallendar,info@schaab-reinhardt.de,Schaab-Reinhardt,https://www.gelbeseiten.de/gsbiz/545d8977-806b-40ed-913b-fd3b5f36b659,56179 ,0261 6 51 20
,Werftstr. 41,Mineralöle,Bendorf,hoyer@hoyer-group.com,HOYER Mineralöl Logistik GmbH,https://www.gelbeseiten.de/gsbiz/6ca1e9d0-68c3-436d-9217-860827ca5eda,56170 ,02622 90 55 32
,Nachtigallenstr. 17,Transporte,Polch,Kurt.Dernbach@t-online.de,Dernbach GmbH,https://www.gelbeseiten.de/gsbiz/da8bfee8-e2a5-4223-a004-0dce690bac43,56751 ,02654 96 45 85
,Bachstrasse 14,"Dienstleistungen,Filmtechnik,Logistik",Buchloe,info@leinsle.com,Leinsle GmbH,https://www.gelbeseiten.de/gsbiz/abff840e-91a0-457a-9541-21af7cca8e60,86807 ,08241 9 67 70
,Beverstr. 100,Abschleppdienste,Hamm-Herringen,info@blueggel-hamm.de,Abschleppdienst BLÜGGEL,https://www.gelbeseiten.de/gsbiz/433c6c98-dec9-414c-b497-eb55b7fed8cb,59077 ,02381 9 96 66-0
,Schelsenweg 14,Heizöle,Mönchengladbach-Giesenkirchen,benten@benten-mg.de,A & D Benten GmbH,https://www.gelbeseiten.de/gsbiz/c8392108-b8ff-4c0c-bd4b-556c37744dfb,41238 ,02166 85 52 00
,Raboisen 5,Dienstleistungen,Hamburg,kontakt@gefo.com,GEFO Gesellschaft für Oeltransporte mbH,https://www.gelbeseiten.de/gsbiz/4258460d-9a9c-4b2d-8079-72ecb4e3e64b,20095 ,040 30 10 50
,Humboldtstr. 58,Speditionen,Mülheim an der Ruhr-Heißen-Fulerum,spedit@spedit.eu,SpedIT GmbH,https://www.gelbeseiten.de/gsbiz/f3917874-6c6a-44d6-a17a-4c4a881e5ea9,45472 ,0208 4 12 88 90
,Bahnhofstr. 2A,Heizöle,Hof-Innenstadt,info@leu-energie.de,LEU Energie GmbH & Co KG,https://www.gelbeseiten.de/gsbiz/b5619149-2981-472a-8898-852569fcef6f,95028 ,09281 8 99-0
