anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Im Gewerbepark 65/C 25,"Rohrreinigung,Kanalreinigung",Regensburg,regensburg@rohrreiniger-rudolf.de,Rohrreiniger Rudolf GmbH,https://www.gelbeseiten.de/gsbiz/b3bc6bb9-9161-423c-88bb-1b2ad889602d,93059 ,0941 20 60 35 00
,Auf dem Feuerrohr 8,Rohrreinigung,Wedemark-Abbensen,abfluss-frei-rohrreinigung@t-online.de,Abfluss-frei Rohrreinigung Wedemark Inh. Frank Sudmöller,https://www.gelbeseiten.de/gsbiz/9ce2797d-eaef-49ae-a25f-2fa9588c7dde,30900 ,05072 7 70 01 16
,Yorckstr. 22,Kanalreinigung,Regensburg-Westenviertel,info@rohrreiniger-rudolf.de,Rohrreiniger Rudolf GmbH,https://www.gelbeseiten.de/gsbiz/e9c5ed2b-d055-4c7d-9d44-1c5d04ba3782,93049 ,0800  1 82 02 93
,Merzhauser Str. 64,"Rohrreinigung,Hausmeisterdienste",Freiburg-Wiehre,info@rohrreinigungloeffler.de,Armin Löffler Hausmeisterdienste und Rohrreinigung,https://www.gelbeseiten.de/gsbiz/582d6d2a-d037-4cbd-9083-1cceae32a922,79100 ,0157 55 35 42 18
,Landshuter Allee 8-10,Rohrreinigung,München-Neuhausen,info@kuchler-service.de,Rohrreiniger Rudolf GmbH,https://www.gelbeseiten.de/gsbiz/0ce7c13b-50a5-4b72-a1a5-eebf31e750ea,80637 ,089 54 55 81 22
,Ringstr. 9,"Kanalreinigung,Rohrreinigung",Gerichshain,seebe-rohrreinigung@t-online.de,SEEBE Rohrreinigung GmbH,https://www.gelbeseiten.de/gsbiz/0608187d-c790-4cce-a3e5-d7ad55e198d0,04827 ,034292 6 80 68
,Leopoldstr. 65,Rohrreinigung,München-Schwabing,info@muenchner-rohrreiniger.de,Münchner Rohrreiniger GmbH&Co. KG,https://www.gelbeseiten.de/gsbiz/ed596cfe-1fcd-4902-8f35-d4e4795ba77c,80802 ,0151 51 24 24 46
,Hafenstr. 97,Rohrreinigung,Essen-Vogelheim,auftrag.rl@gmail.com,Lux Marvin Rohrreiniger,https://www.gelbeseiten.de/gsbiz/3003c1a3-3189-4694-b986-84756bc83f03,45356 ,0162 5 72 54 57
,Schützenstr. 11,"Kanalreinigung,Rohrreinigung",Sehnde-Höver,service@rohrprofi.com,Rohrprofi Frank Zimowski GbR,https://www.gelbeseiten.de/gsbiz/d437e503-a13f-4e20-9668-72fb4c9a54af,31319 ,05132 92 27 90
,Gorkistr. 37,"Heizungs- und Lüftungsbau,Klempnereien,Leckortung",Leipzig-Schönefeld-Abtnaundorf,info@petzold-hks.de,HKS Petzold Sanitär Heizung Messtechnik,https://www.gelbeseiten.de/gsbiz/f0ce21cb-3a37-414e-8c04-3cfffe57b02c,04347 ,0341 4 80 01 84
,Hamburger Landstr. 18,"Elektroinstallationen,Sanitärinstallationen",Rumohr,martin.baasch60@web.de,"Der Rohrreiniger, Martin Baasch, Haus- u. Immobilienservice",https://www.gelbeseiten.de/gsbiz/1cffa9d9-a690-4189-8a6e-8eb63e178bf0,24254 ,04347 77 87
,Belchenstr. 5,"Klempnereien,Abflussreinigung,Rohrreinigung",Frankfurt am Main-Niederrad,alexandermoeller1@outlook.de,Rohrreiniger Klempner,https://www.gelbeseiten.de/gsbiz/732f935d-5981-4b98-acd3-7f22e477fde0,60528 ,0157 92 51 85 28
,Merianweg 26,"Kanalreinigung,Abflussreinigung,Rohrreinigung",Hannover,abfluss-frei-rohrreinigung@t-online.de,Abfluß-frei-Rohrreinigung Inh. Frank Sudmöller,https://www.gelbeseiten.de/gsbiz/5ab8204e-7b6b-4210-a165-b9a5f653c315,30655 ,0511 5 41 51 00
,Ahlumer Str. 90A,"Sanitärinstallationen,Heizungs- und Lüftungsbau",Wolfenbüttel-Stadtgebiet,kontakt@tomkowiak.de,"Tomkowiak GmbH Heizung, Elektro + Sanitär",https://www.gelbeseiten.de/gsbiz/a6779512-adbd-4d36-9536-35e9d9d9c4c1,38302 ,05331 7 20 72
,Am Mühlenanger 44,"Tankreinigung und -schutz,Entsorgungsbetriebe,Kanalreinigung",Northeim,info@gat-northeim.com,G.A.T. Gesellschaft für Abscheidetechnik mbH & Co. KG,https://www.gelbeseiten.de/gsbiz/273b51ca-24c0-4c1f-bff5-b4fcf59280e1,37154 ,05551 9 77 00
,Pfinzstr. 16,Sanitärinstallationen,Pfinztal-Söllingen,info@karcher-sanitaer.de,Karcher GmbH,https://www.gelbeseiten.de/gsbiz/84367669-20d9-4c07-a7c9-e385add35ce9,76327 ,07240 83 08
,Blumeneckstr. 8,"Abflussreinigung,Rohrreinigung",Freiburg-Waltershofen,info@rohrreinigung-loeffler.de,Rohr-Frei Schnelldienst,https://www.gelbeseiten.de/gsbiz/ce9f4868-6e8d-479b-9f53-02ee233ce9ce,79112 ,07665 9 39 09 43
