anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Am Bahnhof 11,Speditionen,Falkenstein-Gfäll,kck-transport@t-online.de,KCK Transport GmbH,https://www.gelbeseiten.de/gsbiz/ffdd8b4b-a492-4bdb-a6c8-cffaffb0567c,93167 ,09462 2 65
,Berliner Chaussee 23a,Speditionen,Mittenwalde,transport@gaac.de,GAAC Commerz GmbH,https://www.gelbeseiten.de/gsbiz/f692b35e-6e6e-4fec-b6a7-d246ad1eff11,15749 ,033764 8 52 00
,Herzogswalder Str. 7,"Container,Krane,Speditionen",Wilsdruff-Grumbach,Kirmes@kirmes-transporte.de,Kirmes,https://www.gelbeseiten.de/gsbiz/70ad271c-c0fd-47d2-b42a-86e6033bc81c,01723 ,035209 2 04 47
,Dr.-Peter-Jordan-Str. 2,Umzüge,Bautzen,gaebler.spedition@t-online.de,Gäbler Spedition GmbH,https://www.gelbeseiten.de/gsbiz/2fd3c5e5-563d-4d90-92ae-2037e9763eba,02625 ,03591 4 20 31
,Stuttgarter Str. 15-17,"Umzüge,Speditionen",Pforzheim-Wilferdinger Höhe,info@spedition-widmaier.de,Paul Widmaier GmbH,https://www.gelbeseiten.de/gsbiz/3b8f8026-6624-4cb2-bbcf-a1a27af181d4,75179 ,07231 10 60 34
,Neubergstr. 19,Umzüge,Schwäbisch Hall-Gelbingen,info@huefner-moebelspedition.de,Hüfner Möbelspedition GmbH,https://www.gelbeseiten.de/gsbiz/84edb688-1f5c-44d1-ac82-b79c97785080,74523 ,0791 85 65 95-0
,Sophie-Charlotten-Str. 15,"Umzüge,Aktenlagerung,Kunsttransporte",Berlin-Charlottenburg,berlin@hertling.com,Hertling GmbH & Co.KG,https://www.gelbeseiten.de/gsbiz/bb4e1c11-63fc-44e9-9a3c-87c5293f1a01,14059 ,030 3 20 90 30
,Longericher Str. 237a,Autovermietung,Köln,dispo@flitzer.de,Kölner Flitzer Service ,https://www.gelbeseiten.de/gsbiz/73c307b8-9be5-459c-b6bf-a08e538343fa,50739 ,0221 17 71-0
,Seydlitzstr. 15,"Umzüge,Möbeltransporte,Speditionen",Karlsruhe-Mühlburg,info@mk-spedition.de,MK Spedition Inh. Monika Komarek,https://www.gelbeseiten.de/gsbiz/5863589b-a9cc-4455-82bf-6f03bbfd6e17,76185 ,0721 55 23 66
,Göschwitzer Str. 34,Speditionen,Jena-Göschwitz,info@kontinent-spedition.de,Kontinent Spedition GmbH,https://www.gelbeseiten.de/gsbiz/e6dd841c-ecbd-4bb7-b952-3cc79507804c,07745 ,03641 29 18-0
