anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Humboldtstraße 12,"Metallbau,Stahlbau",Glinde,info@buthmann.de,Buthmann Ingenieur-Stahlbau AG,https://www.gelbeseiten.de/gsbiz/9f22d363-137c-471f-bef9-620283fe25f4,21509 ,040 7 22 20 07
,Gewerbeparkstr. 5,Türen,Kolkwitz,info@mft-kolkwitz.de,METALL-FORM-TECHNIK,https://www.gelbeseiten.de/gsbiz/9414bf8e-4ef6-4616-82e6-d51079a5ef69,03099 ,0355 4 93 63 20
,Gutenbergstr. 3,"Stahlbau,Schlossereien",Eislingen,info@stahlbau-naegele.de,Nägele Stahlbau GmbH,https://www.gelbeseiten.de/gsbiz/1b0396ab-7bb0-43a5-9811-90b3477b1a71,73054 ,07161 85 00-0
,Otto-Mohr-Str. 8,"Metallbau,Stahlbau,Tore",Dresden-Reick,info@metallbau-tortechnik.de,Metallbau & Tortechnik Oliver Lohr e.K.,https://www.gelbeseiten.de/gsbiz/2b8ae7a4-36ca-465d-8268-8923121f14aa,01237 ,0351 4 71 00 97
,Feldtmannstr. 158,Stahlbau,Berlin-Weißensee,info@pons-berlin.de,PONS Schweißwerk GmbH,https://www.gelbeseiten.de/gsbiz/34c8476b-0a2d-4928-b126-906fb5f9ba54,13088 ,030 9 20 90 90
,Gleiwitzer Str. 12,Stahlbau,Öhringen,info@stemmer-stahlbau.de,Stemmer GmbH,https://www.gelbeseiten.de/gsbiz/505a0cb2-63ee-427a-82d3-327763713ed0,74613 ,07941 84 41
,Gottlieb-Daimler-Str. 1,"Hallenbau,Stahlbau",Pleidelsheim,info@kraehe-woehr.de,Krähe + Wöhr GmbH,https://www.gelbeseiten.de/gsbiz/63ef5f8b-26ca-4f30-8f24-954c89596380,74385 ,07144 2 65-0
,Hühndorfer Höhe 19,"Metallbau,Balkonbau,Stahlbau",Wilsdruff,info@stahlbau-walther-wilsdruff.de,Stahlbau Walther,https://www.gelbeseiten.de/gsbiz/d1ff238a-8680-42f8-93d0-08a26082e0c2,01723 ,035204 6 07 06
,Georg-Schacht-Str. 18c,Stahlbau,Brieskow-Finkenheerd,mail@sgb-stahlbau.de,SGB Ingenieur- u. Stahlbau GmbH,https://www.gelbeseiten.de/gsbiz/4bce9324-8b45-4bd4-abc1-8f444fc6ff31,15295 ,033609 72 66-10
,Margaretenstr. 2-4,"Stahlbau,Metallbau,Schlossereien",Hoppegarten-Hönow,info@mueller-metallbau.com,Müller Schlosserei & Metallbau OHG,https://www.gelbeseiten.de/gsbiz/0cd4bab9-93d8-4826-93f7-7d3eba04016d,15366 ,030 6 94 15 37
,Herrenstr. 37,Stahlbau,Sonneborn-Eberstädt,info@ips-benkert.de,IPS Benkert GmbH,https://www.gelbeseiten.de/gsbiz/9a750fb1-adb4-456d-91b7-7f5dcc7bf83e,99869 ,036255 85 20
,Kanalstr. 10a,"Notdienste,Geländer,Metallbau",Seelze,info@mh.de,MH Michael Jamrozinski,https://www.gelbeseiten.de/gsbiz/7d319a45-0609-478e-b3bc-f179a6814a1f,30926 ,05137 8 18 17 77
,Am Weidiggraben 11,Stahlbau,Fürth-Südstadt,info@japp.de,Japp Stahlbau GmbH,https://www.gelbeseiten.de/gsbiz/dffbdddd-c156-41de-8639-405394623f88,90763 ,0911 97 08 50
,Digitalstr. 15,Stahlbau,Hoppegarten-Dahlwitz-Hoppegarten,info-b@heckmann-mt.de,Heckmann GmbH & Co. KG Stahl- und Metallbau,https://www.gelbeseiten.de/gsbiz/93e19a0c-6613-47fc-8567-a4010fffcdc5,15366 ,03342 42 06-0
,Edewechter Str. 15,"Hallenbau,Stahlbau",Bad Zwischenahn-Ekern,info@eiting-stahlbau.de,Eiting-Stahlbau GmbH,https://www.gelbeseiten.de/gsbiz/da40a7af-1b61-4138-b101-c0bea36c1d57,26160 ,04403 9 79 70
,Wetterkreuz 31,Stahlbau,Erlangen-Tennenlohe,info@boer-stahlbau.de,Böer Horst,https://www.gelbeseiten.de/gsbiz/2169a985-3a07-43b4-a0d9-679c13e64c9e,91058 ,09131 9 95 98 35
,Hunnenstr. 8,"Metallbau,Schlossereien,Stahlbau",Königsbrunn,bauschlosserei-wolf@web.de,Bauschlosserei Stahlbau Wolf,https://www.gelbeseiten.de/gsbiz/cbd056c3-492c-4742-b3b6-12bb4cbeffbf,86343 ,08231 95 80 72
,Achrain 8,"Stahlbau,Schlossereien",Murnau,reischer-metall@t-online.de,Reischer Stahl-Metallbau GmbH,https://www.gelbeseiten.de/gsbiz/b938cc71-c920-4454-8fc4-8415d43927b3,82418 ,08841 12 29
,Gewerbegebiet 16,"Stahlbau,Edelstahl und -verarbeitung,Metallbau",Raisting,info@anderer-gmbh.de,Anderer Ludwig Industrieanlagen,https://www.gelbeseiten.de/gsbiz/79d85ae1-6ed3-45d7-8ebd-78afa5bfe215,82399 ,0171 6 23 76 02
,Im Wennetal 18,Stahlbau,Eslohe (Sauerland)-Bremke,info@sapp-anlagen.de,Norbert Sapp Stahl- und Anlagenbau GmbH,https://www.gelbeseiten.de/gsbiz/2aa695b4-2820-4189-a0f7-69f762f09350,59889 ,02973 9 74 10
,Ardennering 10,Stahlbau,"
					",info@Kuhla-gmbh.de,Stahl- und Treppenbau Kuhla GmbH,https://www.gelbeseiten.de/gsbiz/bc0395e1-3616-4bba-aa59-a593fde6f4e8,Vetschau,035433 4 90 30
,Wissener Weg 28 B,Stahlbau,Kevelaer-Winnekendonk,info@porathgruppe.de,Stahlbau Porath GmbH & Co. KG (Porathgruppe),https://www.gelbeseiten.de/gsbiz/b80229bb-93d2-44ac-ae29-3b657f35e5f6,47626 ,02832 9 83 10
,Rudolf-Diesel-Ring 1a,"Metallbau,Stahlbau",Bad Neustadt,info@trost-stahlbau.de,Trost Stahl- und Metallbau GmbH,https://www.gelbeseiten.de/gsbiz/9fc65f8f-a547-4d92-8d39-61257dd6e163,97616 ,09771 6 88 66-0
,Herdekamp 6,Stahlbau,Xanten,info@minten-stahlbau.de,Minten Stahlbau Land- und Gartentechnik GmbH,https://www.gelbeseiten.de/gsbiz/6ac958a8-615e-4605-b310-02b43a15824e,46509 ,02801 30 70
