anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Im Hölzle 2,Steinbrüche,Unterohrn,info@bmk-steinbruchbetriebe.com,bmk Steinbruchbetriebe GmbH & Co. KG Werk Alfred Kleinknecht Unterohrn,https://www.gelbeseiten.de/gsbiz/0b041a62-7a27-41f2-b306-0f3afcd44072,74613 ,07941 92 15-0
,Dreiburgenstr. 5,Naturstein,Aicha,kusser@kusser.com,Kusser Granitwerke GmbH,https://www.gelbeseiten.de/gsbiz/e71e7897-a1d3-4062-bef8-712e4896b142,94529 ,08544 96 25-0
,Langenburger Str. 51,Steinbrüche,Kupferzell,kontakt@paul-kleinknecht.de,Kleinknecht Paul,https://www.gelbeseiten.de/gsbiz/82ec4ce7-357c-4731-80ae-9f20a83b22af,74635 ,07944 9 19 80
,Biberstr. 33,"Naturstein,Garten- und Landschaftsbau,Steinbrüche",Brannenburg,mail@naturstein-grad.de,Grad Nagelfluhwerk GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/aaf31e4b-d954-4ae3-bc6a-72342a2e53e3,83098 ,08034 32 55
,Vierhäuser 13,Steinbrüche,Schramberg-Sulgen,info@roth-sandsteine.de,Roth Natursteine,https://www.gelbeseiten.de/gsbiz/d0aea13f-bc4f-4f9f-9c8a-54f54f3c9d9a,78713 ,07422 81 18
,Kalksteinbruch 1,Steinbrüche,Liebenau-Lamerden,info@splittwerk.de,Kalksteinwerk Lamerden GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/c9a26c2e-a8cc-4624-97ae-298773c9d67c,34396 ,05676 92 51 01
,Klöffelsberg,Steinbrüche,Langendorf,info@schotterwerk-schmitt.de,Schmitt Hans GmbH,https://www.gelbeseiten.de/gsbiz/330560e3-11f7-428a-b31b-9e1c03b04316,97725 ,09732 24 31
,Weißlensburger Str. 100,Steinbrüche,Weißlensburg-Bitzfeld,info@bmk-steinbruchbetriebe.com,bmk Steinbruchbetriebe GmbH & Co. KG Werk Wilhelm D. Kern Weißenlensburg,https://www.gelbeseiten.de/gsbiz/6eb37290-bf18-4cb6-821b-2b5502051503,74626 ,07946 91 96-0
,Alfred-Nobel-Allee 35,"Steinbrüche,Naturstein",Saarwellingen,info@mineralnat.de,Mineral by Eberhart GmbH,https://www.gelbeseiten.de/gsbiz/91c361da-3a91-4cae-84b3-348313a930b6,66793 ,06838 9 79 91 57
,Robert-Bopp-Str. 2,Steinbrüche,Talheim,info@bmk-steinbruchbetriebe.com,bmk Steinbruchbetriebe GmbH & Co. KG Werk Robert Bopp Talheim,https://www.gelbeseiten.de/gsbiz/57080c45-965d-4608-9d6d-f1a9e38555b4,74388 ,07133 18 60
,Bahnhofstr. 10,"Asphalt,Betonerzeugnisse,Kläranlagenbau",Rötz,info@huber-rappl.de,HUBER GEORG Inh. Jos. Rappl GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/85275f02-d494-423f-8402-e5e6cca1f70c,92444 ,09976 94 13-0
,Brungerststr. 21,Naturstein,Lindlar,info@bgs-monor.de,Bergische Grauwacke,https://www.gelbeseiten.de/gsbiz/a6535c56-f72c-4167-b5c7-2bacd400c109,51789 ,02266 90 12 20
,97723 ,Steinbrüche,"
					",info@hochrein-beton.de,Albert & Hochrein GmbH Schotterwerk,https://www.gelbeseiten.de/gsbiz/77e69064-6fe9-423c-b724-0f9822fec80d,Oberthulba,09736 5 93
,Rudolf-Diesel-Str. 7,"Abbrucharbeiten,Erdbau",Himmelstadt,k.kleider@gmx.de,Abbruch Kleider Karl-Heinz,https://www.gelbeseiten.de/gsbiz/f8f67cfe-415a-4cac-8f6b-69ebc19a96d6,97267 ,09364 61 94
,Hafenstr. 81,Steinbrüche,Neuwied,info@agstein.de,AG für Steinindustrie,https://www.gelbeseiten.de/gsbiz/38fc43de-0117-49b9-8d5c-8eff4a1b68a9,56564 ,02631 34 54 99
,Fressenhöfe,Steinbrüche,Ochtendung,info@agstein.de,AG für Steinindustrie,https://www.gelbeseiten.de/gsbiz/c303b4a0-3418-4902-9f4b-34c5c3d45829,56299 ,02625 62 82
,Gottfried-Keller-Str. 2,Steinbrüche,Rothenburg ob der Tauber,info@wsg-schotter.de,WSG Westfränkische Schotter GmbH & Co. Vertriebsgesellschaft KG,https://www.gelbeseiten.de/gsbiz/8f3a9879-41a0-4844-a168-f3751b91fb62,91541 ,09861 93 88-0
,Würzburger Str. 79,Steinbrüche,Steinfeld,e.vaeth.schotterwerk@online.de,Väth Emil GmbH,https://www.gelbeseiten.de/gsbiz/c82d59ed-3615-43dd-ac39-d7ef28e91b0f,97854 ,09359 2 42
,Bettenfeld 100,Steinbrüche,Rothenburg-Bettenfeld,info@shf-steine.de,SHF Steinbruchbetriebe GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/96ba4d7e-6e84-405c-9914-3a96fd801ff4,91541 ,09861 97 69-0
,Meierhof 47,Steinbrüche,Münchberg-Meierhof,info@hartsteinwerk-rossner.de,Roßner Oliver,https://www.gelbeseiten.de/gsbiz/8fe5d45d-7a45-42f0-ae19-989e26ac8221,95213 ,09251 57 77
,Josef-Helfrich-Str. 19,Steinbrüche,Oberleichtersbach,g.piontek@crushers.de,Rhönschotter GmbH,https://www.gelbeseiten.de/gsbiz/9494c7e8-5207-47c3-9aa1-cc6002248581,97789 ,09741 93 09 93 12
,Coburger Str. 35,Steinbrüche,Untersiemau,kontakt@amo-debus.de,Hartsteinwerke Hof GmbH,https://www.gelbeseiten.de/gsbiz/3118e8b6-f1c5-48aa-859d-68beb8372c7d,96253 ,09281 7 55 40
,Nalser Str. 42,Steinbrüche,Kronach-Gundelsdorf,natursteine.karg@gmx.de,Natursteine Karg,https://www.gelbeseiten.de/gsbiz/00fa391a-cc45-4445-828d-8c8adc977de0,96317 ,0176 45 05 06 37
,Am Buchenweg 2,Steinbrüche,Wasserlosen-Greßthal,info@schotterwerk-schmitt.de,Hans Schmitt GmbH Schotterwerk-Landhandel,https://www.gelbeseiten.de/gsbiz/ff4aad66-5c70-482c-9763-b3c2bb6ebf45,97535 ,09726 91 00-0
,Kulmbacher Str. 59,Steinbrüche,Kupferberg,service@schicker-diabas.de,Hartsteinwerke Schicker OHG,https://www.gelbeseiten.de/gsbiz/2a8c430c-554b-47fb-9d87-061e05285313,95362 ,09227 70 77
,Zankendorf 20,Steinbrüche,Niedermurach-Zankendorf,info@huber-rappl.de,Josef Rappl GmbH & Co KG,https://www.gelbeseiten.de/gsbiz/2017ceae-2dc9-494a-a0ad-8798744f5794,92545 ,09675 15 74
,Gartenstr. 2-4,Steinbrüche,Bad Staffelstein,info@essmeyer-baulogistik.de,Eßmeyer Baulogistik GmbH,https://www.gelbeseiten.de/gsbiz/fba70ed4-3ddc-416b-b37f-a1f8da6e631c,96231 ,09573 95 09 05
,Bundesstr. 256,Steinbrüche,Plaidt,info@agstein.de,AG für Steinindustrie,https://www.gelbeseiten.de/gsbiz/e541270f-a167-4e65-8eb1-286a26854808,56637 ,02632 62 72
,Zum Steinbruch 28,Steinbrüche,Korlingen,weber.natursteine@t-online.de,Weber,https://www.gelbeseiten.de/gsbiz/577de8a3-01f2-475e-ba54-f0f8fb203302,54317 ,06588 25 60
,Flensburger Str. 60,"Sand und Kies,Steinbrüche",Lindewitt-Lüngerau,info@kieswerk-bahnsen.de,Bahnsen Martin KG Kies- u. Schotterwerk Büro,https://www.gelbeseiten.de/gsbiz/dc1fdd5f-b41f-400d-a1fb-8a0ac5243116,24969 ,04604 3 50
,Plöner Str. 99,Steinbrüche,Malente-Bad Malente-Gremsmühlen,kontakt@kieswerk-kreuzfeld.de,Kies- und Schotterwerk Kreuzfeld GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/5d2555f3-2ff8-469f-a98b-7f4d83aae177,23714 ,04523 9 94 90
,Am Birkenkopf,Steinbrüche,Hünfelden,info@basalt.de,Basalt-Actien-Gesellschaft,https://www.gelbeseiten.de/gsbiz/87b5e84f-8285-42e0-92a1-0230d73afc09,65597 ,06431 4 24 96
,Ottendorfer Str. 19,Steinbrüche,Ludwigsstadt-Ottendorf,hartsteinwerk_ludwigsstadt@t-online.de,Reichenbecher & Rentsch GmbH & Co. KG Hartsteinwerk Ludwigsstadt,https://www.gelbeseiten.de/gsbiz/e6452201-da7c-4546-b473-c5318424e0d7,96337 ,09263 2 19
,Rathausstr. 29,Steinbrüche,Oberaurach-Tretzendorf,elisabeth-albert@web.de,Albert Wolfgang GmbH Steinbruch-Baggerbetrieb,https://www.gelbeseiten.de/gsbiz/9bab8062-34cc-41ab-8b90-855a968711b8,97514 ,09522 3 36
,Weuste 11,Steinbrüche,Sprockhövel-Haßlinghausen,info@steinbruch-lange.de,Steinbruch- und Sägebetrieb Lange,https://www.gelbeseiten.de/gsbiz/bfe7da0c-a1ad-49b5-b7bb-78abd1c4a534,45549 ,02339 45 02
