anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Kleinmachnower Weg 13 -15,"Tiefbau,Kabelleitungstiefbau,Rohrleitungsbau",Berlin-Zehlendorf,rechnungseingang@wenzel-tiefbau.de,Gerhard Wenzel Tiefbauunternehmung GmbH & Co.KG,https://www.gelbeseiten.de/gsbiz/734b908c-300b-43de-bd1d-567e5f65d48d,14165 ,030 8 16 00 00
,Cottbuser Str. 4,Tiefbau,Niesky,info@tiefbau-lange.de,"Tief- und Pflasterbau Lange, GmbH u. Co.KG",https://www.gelbeseiten.de/gsbiz/d0abce58-2877-4fa8-8fe9-acd7cbe8883d,02906 ,03588 20 53 37
,Flockenstr. 27,Tiefbau,Lugau,info@htr-erzgebirge.de,HTR GmbH,https://www.gelbeseiten.de/gsbiz/de38d439-8f57-4413-8379-cbe927e828c4,09385 ,037295 54 62 70
,Bachgasse 2,"Bauunternehmen,Tiefbau",Reichenbach,bhsbau@t-online.de,BHS-Bau,https://www.gelbeseiten.de/gsbiz/adfd0d8e-b2ad-4516-8502-580bdd407ec0,08468 ,03765 71 90 77
,Metzmachersrath 40,"Garten- und Landschaftsbau,Abbrucharbeiten,Tiefbau",Wuppertal-Elberfeld,info@semmler-gmbh.de,Semmler GmbH,https://www.gelbeseiten.de/gsbiz/cc4f85c5-9df5-4629-9b87-909ccb17e9a8,42111 ,0202 7 28 44
,Hauptstr. 45,"Tiefbau,Baggerarbeiten,Erdbau",Neukirchen,info@erd-bau.de,T & E Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/9b9a9f79-1c08-4878-91bc-05c8277a1573,08459 ,03762 4 22 56
,Borssenanger 6,Tiefbau,Chemnitz-Kaßberg,info@waechtler-tiefbau.de,Wächtler Tiefbau,https://www.gelbeseiten.de/gsbiz/28384eb2-3cc9-44f1-acc0-d672fd1e8cc1,09113 ,0371 26 79 23 24
,Dobrabach 5,Tiefbau,Lampertswalde-Mühlbach,info@tieku.de,Tief- und Kulturbau Mühlbach GmbH,https://www.gelbeseiten.de/gsbiz/e0f90d83-c579-4438-81c3-e0766c669b08,01561 ,035248 8 83-0
,Auerstr. 4a,"Bauunternehmen,Pflasterbau,Tiefbau",Coswig,golabaugmbh@gmail.com,Hoch- und Tiefbau Thomas Gola GmbH,https://www.gelbeseiten.de/gsbiz/75de8efd-c16b-4bdf-b10a-b1baa6eada6d,01640 ,0172 3 46 05 28
,Dorfstr. 29,Tiefbau,Brück-Gömnigk,info@zerbe-tiefbau.de,Zerbe Tiefbau GmbH,https://www.gelbeseiten.de/gsbiz/3fe7a954-5e18-4187-b2d7-9b6acd92c2f8,14822 ,033844 4 00
,An den Teichen 4,Tiefbau,Chemnitz-Mittelbach,tiefbau@ctg-rbs.de,C.T.G. Chemnitzer Tiefbau GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/735fa681-eb6e-48d8-a155-55caf5c880a6,09224 ,0371 40 47 04 71
,Zechenstr. 6,"Tiefbau,Abbrucharbeiten",Lugau,pueschmann-abbruch@online.de,Püschmann GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/450746fd-432a-4a67-8683-d3dcba6c430d,09385 ,037295 31 28
,Grasstr. 5,Tiefbau,Essen-Borbeck-Mitte,info@arnolds-essen.de,Abbruch Arnolds GmbH,https://www.gelbeseiten.de/gsbiz/f32681d2-2da6-4aac-99ed-5c82b3d1f2cd,45356 ,0201 9 59 48 68-0
,Am Wammesknopf 26,"Tiefbau,Straßenbau",Stuttgart-Stammheim,kontakt@willyschnell.de,Willy Schnell GmbH Straßen- und Tiefbau,https://www.gelbeseiten.de/gsbiz/653ea1fc-c4e4-4a3f-b3ac-878832766b68,70439 ,0711 80 80 88
,Mastenweg 5,Tiefbau,Uetze-Dollbergen,hennigs.bau@t-online.de,Hennigs Bauunternehmen GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/f3f775f3-40ea-4abe-9319-44791f19a830,31311 ,05173 92 22 29
,Dorfstr. 12,"Vermessungsbüros,Ingenieurbüros: Tiefbau",Hohenbrunn b. München,ing.buero@scherer-kurz.de,Scherer & Kurz,https://www.gelbeseiten.de/gsbiz/726ac9fd-8c14-4d51-be2e-c8319c5e628b,85662 ,08102 74 24-0
,Oraniendamm 68,"Tiefbau,Abbrucharbeiten,Erdbau",Berlin-Waidmannslust,amba.erdbau@t-online.de,AMBA Erdbau GmbH,https://www.gelbeseiten.de/gsbiz/8e65bded-25da-4c90-8e3e-7ecfb752b263,13469 ,030 40 53 64 73
,Heinrich-Strünker-Str. 8,"Bauunternehmen,Abbrucharbeiten,Baggerarbeiten",Bergisch Gladbach,info@struenker.de,Heinrich Strünker GmbH,https://www.gelbeseiten.de/gsbiz/b0083a31-c457-45cd-840d-48f40fbae827,51469 ,02202 1 88 60
,Carl-Benz-Str. 10H,"Tiefbau,Abwassertechnik,Rohrreinigung",Hirschberg-Großsachsen,info@boehm-at.de,boehm-at Abwasserservice Inh. Visar Dautaj,https://www.gelbeseiten.de/gsbiz/9945cf68-c67d-4831-b93b-6deb2c268d20,69493 ,06201 9 03 10
,Leipziger Str. 28,"Tiefbau,Garten- und Landschaftsbau",Rötha/ OT Espenhain,kk-tiefbau@t-online.de,K & K Tiefbau GmbH,https://www.gelbeseiten.de/gsbiz/500ee976-5de1-4ac3-aec8-f1045c1f117c,04579 ,034206 62 40
,An der Autobahn 9-11,"Tiefbau,Abbrucharbeiten,Erdbau",St. Leon-Rot-St Leon,info@eagmbh.net,EAG Erdbewegungs- und Abbruchgesellschaft mbH,https://www.gelbeseiten.de/gsbiz/226cbb3f-3b47-4181-b287-b0da661eb6ab,68789 ,06227 86 45 30
,Industriestr. 12,"Bauunternehmen,Straßenbau,Tiefbau",Langenhagen-Kaltenweide,info@bethke-leide.de,Bethke & Leide GmbH,https://www.gelbeseiten.de/gsbiz/f37456e1-0940-4165-a35b-ca3493b7c0b0,30855 ,0511 73 05 30
,Markgrafenstr. 111,"Tiefbau,Bauunternehmen,Hochbau",Denzlingen,info@gerber-bau.de,"Bauunternehmen F. Gerber GmbH & Co. KG Hoch-, Tief- & Straßenbau",https://www.gelbeseiten.de/gsbiz/c8b459a5-7a9a-4378-b51c-0625164ce48f,79211 ,07666 94 47 90
,Thiemstr. 41,Tiefbau,Cottbus-Saspow,spezialtiefbau@freenet.de,Spezialtiefbau GmbH Cottbus,https://www.gelbeseiten.de/gsbiz/d5550430-b6b0-4575-88dd-a09a040b76d7,03050 ,0355 86 02 00
,Lehmweg 2,Tiefbau,Emmerich-Klein-Netterden,info@bau-gb.de,Baugesellschaft Geerling & Berndsen mbH,https://www.gelbeseiten.de/gsbiz/b10fc8c0-f6c1-439a-8a48-c4a8bddc43bf,46446 ,02822 9 14 56-0
,Römerstr. 113,"Tiefbau,Bauunternehmen",Hamm-Bockum-Hövel,hamm@heckmann-bau.de,Heckmann GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/e0532310-1b49-4283-a7d5-9c8757951d79,59075 ,02381 79 90-0
,Bahnweg 3,Tiefbau,Neuhausen/Spree-Bagenz,btb-bagenz@t-online.de,btb Beton- u. Tiefbau Bagenz GmbH,https://www.gelbeseiten.de/gsbiz/892b60df-9e8a-4cc8-a81c-1ce983c56d49,03058 ,035697 2 12
,Romaneyer Str. 25,Abbrucharbeiten,Bergisch Gladbach,info@ludwig-kraemer.de,Abbruch - Container - Tiefbau  Ludwig Krämer GmbH G,https://www.gelbeseiten.de/gsbiz/660a51b2-3d8a-4303-9243-eef931753f4e,51467 ,02202 3 10 31
,Schlosserstr. 8-10,"Tiefbau,Bautenschutz,Bauunternehmen",Durmersheim,info@baetz-bau.de,Bätz Bau GmbH,https://www.gelbeseiten.de/gsbiz/eb179d5d-93d4-4427-bcce-d67612f0c464,76448 ,07245 8 09 99 60
,Weseler Str. 34b,"Tiefbau,Erdbau",Alpen,aundwtiefbau@t-online.de,A & W Tiefbau GmbH,https://www.gelbeseiten.de/gsbiz/46567669-ba3a-4ee6-b140-b465f69edc94,46519 ,02802 94 79 90
,Bülowstr. 14,Garten- und Landschaftsbau,Augsburg-Lechhausen,baum-gartner-bau@t-online.de,"Baumgärtner Alexander, Landschaftsbau & Garten Straßenbau",https://www.gelbeseiten.de/gsbiz/9ea30dc3-ded9-4251-9e23-fc6a1f2c3be3,86167 ,0821 44 99 03 09
,Robert-Bosch-Str. 9,Tiefbau,Wülfrath-Innenstadt,info@onasch-tiefbau.de,H. ONASCH Tiefbau und Container,https://www.gelbeseiten.de/gsbiz/ba281878-8315-4da8-86dd-644183369a11,42489 ,02058 14 31
,Massener Hellweg 76,Tiefbau,Unna-Massen,schnepper-massen@web.de,Schnepper Erd- u. Schüttgutbewegung GmbH,https://www.gelbeseiten.de/gsbiz/6453486c-3711-4867-a4e4-3ff74f9ebbf6,59427 ,02303 95 33 40
,Bonner Str. 165,Garten- und Landschaftsbau,Hennef,info@ross-gartenbau.de,Garten- und Landschaftsbau Ross,https://www.gelbeseiten.de/gsbiz/0810f506-3603-413e-b3f5-1374db0a4036,53773 ,02242 9 35 99 00
,Alfred-Nobel-Str. 51,"Bauisolierungen,Bauunternehmen,Ingenieurbüros",Grevenbroich-Gewerbegebiet Ost,info@bundrock.de,Bundrock GmbH,https://www.gelbeseiten.de/gsbiz/adaee57f-ba6d-4b13-ae36-a017709d6dc5,41515 ,02181 21 29 32-0
,Ulmer Str. 75,"Bauunternehmen,Straßenbau,Tiefbau",Stuttgart-Ost,kontakt@adolfduerr.de,Baugeschäft Adolf Dürr GmbH & Co.,https://www.gelbeseiten.de/gsbiz/eea9f7b2-a2b7-4bac-a67b-3f83ee860dcd,70188 ,0711 46 51 34
,Marie-Curie-Str. 3,Tiefbau,Winnenden-Hertmannsweiler,mail@tiefbau-naegele.de,Jürgen Nägele GmbH,https://www.gelbeseiten.de/gsbiz/f15fb5bd-23e6-4b8c-ad18-997923df9354,71364 ,07195 2 09 13 48
,Knappenstr. 1,Tiefbau,Senftenberg,info@l-t-bau.de,L & T Bau,https://www.gelbeseiten.de/gsbiz/63a2c613-27a5-4c3c-b4cb-472416bd0770,01968 ,0160 96 03 64 86
,Rothenbacher Weg 6,Tiefbau,Glauchau-Voigtlaide,info@baggermax-glauchau.de,Baggermax Weidlich Max und Weidlich Ronny GbR,https://www.gelbeseiten.de/gsbiz/cc3a7e50-4073-49eb-ab4b-8d752e89b5fe,08371 ,01514 0 18 50 33
,Saarländer Str. 15,"Elektroinstallationen,Tiefbau",Leipzig-Neulindenau,info@elektropartner-grundmann.de,Elektroinstallationsbetrieb Axel Grundmann e.K.,https://www.gelbeseiten.de/gsbiz/21c01bd8-b973-42f0-a35b-c77a00928593,04179 ,0341 4 79 39 53
,Fiernhagen 6,"Tiefbau,Garten- und Landschaftsbau,Pflasterbau",Garbsen-Altgarbsen,info@garten-und-landschaftsbau-erdem.de,Erdem Garten- und Landschaftsbau,https://www.gelbeseiten.de/gsbiz/31cd06fa-9cac-44fd-9da5-563d1d4fa50a,30823 ,0174 9 20 86 51
,Gewerbestr. 2F,"Abbrucharbeiten,Tiefbau",Bochum-Günnigfeld,info@thorsten-bydlowski.de,Abbruch Bydlowski Straßen- & Tiefbau,https://www.gelbeseiten.de/gsbiz/9e3a2a91-72f0-4d03-9d76-0946345ac1d2,44866 ,02327 96 01 02
,Wittestr. 26F,Tiefbau,Berlin-Tegel,info@furch-grundbau.de,Furch Grundbau GmbH Berlin,https://www.gelbeseiten.de/gsbiz/f2ee37d2-9de8-46ea-91f9-2eca929b26e8,13509 ,030 4 37 77 92-0
,Kutscherweg 28,"Garten- und Landschaftsbau,Abbrucharbeiten,Betonarbeiten",Leipzig-Lindenthal,info@bsl-leipzig.de,Bau Service Logistik GmbH,https://www.gelbeseiten.de/gsbiz/a78cc214-ed07-40bf-8e0c-440064efa065,04158 ,0341 9 09 65 17
,Wildmeisterdamm 253,"Bauunternehmen,Pfahlgründungen,Rammarbeiten",Berlin-Buckow,info@wendt-grundbau.de,Wendt Grundbau GmbH,https://www.gelbeseiten.de/gsbiz/d3e924b1-3062-4330-9bd5-e1b8d12d223c,12353 ,030 6 09 70 80
