anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Friemersheimer Str. 90,Tischlereien,Moers-Asberg,info@kadelka-hermes.de,Kadelka & Hermes,https://www.gelbeseiten.de/gsbiz/0401c666-8084-4ea8-9c36-5c794aa2b523,47441 ,02841 5 11 82
,Von-Ketteler-Str. 3,Tischlereien,Kempen,mail@holz-tec.com,holztec Tischlerei Schleupen,https://www.gelbeseiten.de/gsbiz/ecd56522-34d2-4b53-8f03-628c7ad4d99d,47906 ,02152 9 59 90 50
,Auf der Heide 5,Tischlereien,Kempen,peterista@aol.com,Ista Schreinerei Ista Peter,https://www.gelbeseiten.de/gsbiz/e7e2b18e-44b1-47a9-bf6c-379c31b9f145,47906 ,02152 26 75
,Rheinische Str. 16a,Tischlereien,Haan,info@tischlerei-monser.de,Tischlerei Olaf Monser,https://www.gelbeseiten.de/gsbiz/49fcfa6d-8beb-44d8-9cc9-79c2b5937fa4,42781 ,02129 49 10
,Berghauser Str. 2,"Tischlereien,Innenausbau",Wuppertal-Cronenberg,innenausbau-kraus@t-online.de,Kraus Innenausbau GmbH,https://www.gelbeseiten.de/gsbiz/a7a20104-eb25-4b05-99ba-e8b8b5c911ad,42349 ,0202 59 18 23
,Am Bruckweg 134,Tischlereien,Nürnberg-Kornburg,info@andres-innenausbau.de,Schreinerei Andres Christian,https://www.gelbeseiten.de/gsbiz/1e4328e8-fe4f-441c-b87f-5fcb1e42bc83,90455 ,09129 2 90 62 64
,Henri-Dunant-Str. 2,"Tischlereien,Fenster",Köln-Ostheim,info@schreinerei-malzkorn.de,Malzkorn Stefan,https://www.gelbeseiten.de/gsbiz/6de4c6c8-919a-47e0-92f2-b9a50bf77e8a,51107 ,0221 9 89 17 40
,Ottowinder Str. 2,Tischlereien,Meeder,info@galabau-lieb.de,Holzschmiede Lieb,https://www.gelbeseiten.de/gsbiz/7850f1c0-9208-468a-8e11-86e4d5620a66,96484 ,09566 80 72 33
,Fürstenhainer Str. 13,Tischlereien,Radebeul,info@tischlerei-lehmann-radebeul.de,Bernd Lehmann - Tischlermeister,https://www.gelbeseiten.de/gsbiz/8c6a89f0-c4d5-4f80-a762-914258ddc157,01445 ,0351 8 38 67 64
,Deininger Str. 7,Tischlereien,Mühlhausen-Greißelbach,info@schreinerei-leibl.de,Andreas Leibl Schreinerei,https://www.gelbeseiten.de/gsbiz/7557e7d3-f9d5-47b8-8313-575be8bfa85d,92360 ,09185 50 00 72
,Brühler Str. 58,"Fenster,Möbel,Tischlereien",Solingen-Höhscheid,info@heimann-tischlermeister.de,Heimann Tischlermeister,https://www.gelbeseiten.de/gsbiz/81c75030-51db-435a-8f88-8572d64697e6,42657 ,0212 81 52 38
,Ursulastr. 12,Tischlereien,Bochum-Innenstadt,kschlonski@t-online.de,Schlonski Klaus Tischlermeister,https://www.gelbeseiten.de/gsbiz/356efc54-754f-4528-a8bf-f094394ad6e6,44793 ,0234 9 62 91 56
,Greuel 17,"Tischlereien,Altbausanierungen",Remscheid-Lennep,kontakt@schreinerei-lr.de,Rollshäuser,https://www.gelbeseiten.de/gsbiz/6acf45b4-69c2-4b89-9a36-12535a21a99b,42897 ,02191 6 91 17 14
,Provinzstr. 10,Tischlereien,Berlin-Gesundbrunnen,info@tischlerei-thiemich.de,Tischlerei Thiemich GmbH,https://www.gelbeseiten.de/gsbiz/2dcfa85e-838b-40ac-8027-0e8c5eb88382,13409 ,030 3 94 22 75
,Holzhauser Str. 55,Tischlereien,Berlin-Borsigwalde,info@dirk-mertens-tischlerei.de,Mertens Dirk - Tischlermeister,https://www.gelbeseiten.de/gsbiz/07535774-20ec-4607-a8a1-79b4809b62d9,13509 ,030 43 77 78 00
,Clausenstr. 39D,"Tischlereien,Türen",Wuppertal-Barmen,schreinerei-muenter@t-online.de,Münter,https://www.gelbeseiten.de/gsbiz/cc642dd8-a5c1-455a-bd64-401295aa3e53,42285 ,0202 64 56 04
,Weststr. 18,"Tischlereien,Fenster",Löbau,info@poetschke-fensterbau.de,Tischlerei Pötschke GmbH,https://www.gelbeseiten.de/gsbiz/0c7b34ce-6dcf-40c1-b80a-4374685a000d,02708 ,03585 4 74 60
,Häuslinger Str. 15,Tischlereien,Erlangen-Büchenbach,info@golsch.de,KRAUS + GOLSCH GmbH,https://www.gelbeseiten.de/gsbiz/551504e0-459e-457c-a05a-4c56c37f8bbe,91056 ,09131 90 29 29-0
,Kötzschenbrodaer Str. 27,Tischlereien,Moritzburg,tischlerei-gloeckner@gmx.de,Glöckner Toralf Tischlermeister,https://www.gelbeseiten.de/gsbiz/32823e40-0413-4f1f-8240-8d134660733b,01468 ,035207 8 12 28
,Martinsfeld 30,Tischlereien,Köln,info@BauArt-Schaefer.de,"Bauart, Möbel + Interieur",https://www.gelbeseiten.de/gsbiz/bb25e261-16c6-4932-ba86-52099d373f6e,50676 ,0221 9 32 20 07
,Hohefeldstr. 17,Tischlereien,Berlin-Hermsdorf,info@tischlerei-gegusch.de,gegusch TISCHLEREI GmbH,https://www.gelbeseiten.de/gsbiz/e4d5ef08-555e-475c-be3b-77664b766ee9,13467 ,030 4 04 30 42
,Willstätterstr. 60,"Betten und Bettwaren,Tischlereien",Nürnberg-Gebersdorf,info@holztraeume.de,Holzträume Gracklauer,https://www.gelbeseiten.de/gsbiz/60cf5953-a145-42f2-abda-f0404a7f71f1,90449 ,0911 6 72 21 07
,Nordlichtstr. 28 /30,"Tischlereien,Einbruchsicherungen,Fenster",Berlin-Reinickendorf,kuv@tischlerei-kuv.de,Tischlerei K&V,https://www.gelbeseiten.de/gsbiz/d099ff09-3cfb-4b99-accb-59632a5f25fd,13405 ,030 28 70 08 77
,Honschaftsstr. 236,Tischlereien,Köln,tischlerei.schneiders@t-online.de,SCHNEIDERS KLAUS,https://www.gelbeseiten.de/gsbiz/037ea6f2-cf44-4c81-bb51-78f61031a99b,51061 ,0221 63 59 22
,Marconistr. 20,Tischlereien,Köln,info@schreiner-schenk.de,Schenk Heinrich,https://www.gelbeseiten.de/gsbiz/1dd04e8a-2349-4acb-b5fe-4faa0a0c4811,50769 ,0221 7 08 72 68
,Josef-Orlopp-Str. 45-49,Tischlereien,Berlin-Lichtenberg,info@holzmanufaktur-berlin.de,Tischlerei Holzmanufaktur in Berlin GmbH,https://www.gelbeseiten.de/gsbiz/1c74b2fb-886d-473a-9f7e-22265a5aa0be,10365 ,030 61 70 93 80
,Bahnhofstr. 4,Tischlereien,Moritzburg,info@tischlerei-moritzburg.de,Jürgen Böhme Tischlerei GmbH,https://www.gelbeseiten.de/gsbiz/414f0945-c82b-414f-9867-061a3933b2a6,01468 ,035207 8 15 51
,Reitweg 249,Tischlereien,Moers-Bornheim,info@tischlerei-breitenfeld.de,Breitenfeld,https://www.gelbeseiten.de/gsbiz/5fc2a141-be37-4b4e-bc85-23c69136ba21,47445 ,02841 8 85 59 70
,Obermiebach 10A,Tischlereien,Overath,tischlerei.schuermann@t-online.de,Schürmann Wolfgang Tischlerei,https://www.gelbeseiten.de/gsbiz/58ab6045-6d7e-4867-b0ff-33d7aaccf0ff,51491 ,02206 86 51 55
,Udetstr. 4,Tischlereien,Regensburg-Westenviertel,schreiner.lacher@yahoo.de,Lacher Reinhard Schreinerei,https://www.gelbeseiten.de/gsbiz/3f5d7c87-ef95-43df-8cb0-3fc44defd264,93049 ,0941 3 33 05
,Drehweg 3,Tischlereien,Rödental-Mönchröden,info@schreinerei-otto-mueller.de,Bau- und Möbelschreinerei Otto Müller,https://www.gelbeseiten.de/gsbiz/dbd4e356-0303-4e56-b216-fb952d77b6a5,96472 ,09563 61 30
