anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Josef-Kitz-Str. 28,"Transporte,Eiltransporte,Kurierdienste",Troisdorf,roadrunner@teamroadrunner.de,RoadRunner Transport GmbH,https://www.gelbeseiten.de/gsbiz/343be8d2-0ec4-472b-b392-e49e8c5f1d3b,53840 ,02241 9 84 80
,Schandauer Str. 136,"Container,Transporte",Gohrisch-Kurort Gohrisch,info@kuehn-tiefbau-transport.de,Kühn Uwe,https://www.gelbeseiten.de/gsbiz/94122fe1-0442-497b-bd45-3c9b92ed9580,01824 ,035021 6 81 26
,Längwitzer Str. 15,Umzüge,Arnstadt,info@umzug24eiltrans.de,Brandt-Umzug,https://www.gelbeseiten.de/gsbiz/729ba847-6185-44ca-a7de-46ae259e1809,99310 ,03628 59 59-0
,Albertus-Magnus-Str. 11,Transporte,Stein,leoclaudiu98@gmail.com,Ganea Gheorghe Claudiu Transporte,https://www.gelbeseiten.de/gsbiz/f091dc49-773e-469a-9fcd-9b4b61496547,90547 ,0162 2 85 69 09
,An der Ebrach 2,"Transporte,Containerdienste",Hirschaid-Erlach,aztransporte@t-online.de,"Zimmermann, Andreas",https://www.gelbeseiten.de/gsbiz/115dda12-25d6-485e-a020-fce741928acf,96114 ,09543 4 19 77 03
,Pirnaer Landstr. 293,Transporte,Dresden-Großzschachwitz,info@arnold-transporte.de,Brennstoffe & Transporte Roland Arnold,https://www.gelbeseiten.de/gsbiz/5cc01e6e-1de1-461c-8e61-a959d0f394e3,01259 ,0351 2 02 38 46
,Karl-Legien-Str. 3,Transporte,Essen-Vogelheim,info@kluempentrans.de,KT Klümpen-Transporte,https://www.gelbeseiten.de/gsbiz/59fd5a43-ef7c-4c6f-8187-c06fd90f172c,45356 ,0201 24 86 11 86
,Longericher Str. 237a,Autovermietung,Köln,dispo@flitzer.de,Kölner Flitzer Service ,https://www.gelbeseiten.de/gsbiz/73c307b8-9be5-459c-b6bf-a08e538343fa,50739 ,0221 17 71-0
,Im Grein 19,"Asbestsanierung und -entsorgung,Baumaschinenvermietung,Container",Landau in der Pfalz,info@baumann-landau.de,Baumann Rohstoff-Recycling GmbH,https://www.gelbeseiten.de/gsbiz/33c964da-868e-4d87-a4d5-38b30198b16e,76829 ,06341 93 31 33
,Am Busch 2,Transporte,Chemnitz-Rottluff,autoheider@arcor.de,FUHRGESCHÄFT HEIDER - AUTO HEIDER,https://www.gelbeseiten.de/gsbiz/c8fa8bc9-73af-4c5c-b7ef-29e5b475606d,09116 ,0172 3 50 02 95
