anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Hannöversche Str. 20,Trockenbau,Dortmund-Körne,info@malerdrescher.de,Drescher Dortmunder Trockenbau,https://www.gelbeseiten.de/gsbiz/8f01bfdd-dc05-457e-b204-d71394975acf,44143 ,0231 42 42 51
,Hamburger Str. 39b,"Trockenbau,Innenausbau",Dresden-Friedrichstadt,info@trockenbau-loch.de,Akustik und Trockenbau Loch Riko,https://www.gelbeseiten.de/gsbiz/122c45be-fa42-40b7-b018-010eb8a3bf33,01067 ,0351 32 35 70 83
,Merscheider Str. 265,"Malerbetriebe,Trockenbau",Solingen-Merscheid,info@sperlich-solingen.de,Guido Sperlich,https://www.gelbeseiten.de/gsbiz/62febc35-aa01-4bde-8b5a-86142b298a44,42699 ,0212 33 44 00
,Pongser Heide 7,Trockenbau,Mönchengladbach-Pongs,info@pidic-trockenbau.de,Akustik- und Trockenbau Pidic,https://www.gelbeseiten.de/gsbiz/12daac6a-bbc8-44b5-9e38-3a32cf1b7433,41239 ,02166 94 00 44
,Grafenweg 64,"Trockenbau,Innenausbau",Voerde,info@innenausbau-baumann.de,Baumann,https://www.gelbeseiten.de/gsbiz/32ca6b3f-201e-41e2-ad05-eb86b49e7ec5,46562 ,02855 30 89 25
,Wielandstr. 20,"Fassadenverkleidungen,Trockenbau",Neumarkt,info@mathi-hoffer.de,Hoffer Mathi GmbH,https://www.gelbeseiten.de/gsbiz/fadf2e4d-8e13-4ea4-b879-66f9c52e7bf4,92318 ,09181 46 01 70
,Philippstr. 24,Trockenbau,Köln,kontakt@innenausbau-trockenbau.com,Vadym & K Innenausbau & Trockenbau,https://www.gelbeseiten.de/gsbiz/dceb9488-186e-4077-983d-760f5b6c0e94,50823 ,0221 95 93 75 78
,Ottendorf 33,Trockenbau,Bahretal-Ottendorf,buero@mayder.de,May & Mader Innenausbau GmbH,https://www.gelbeseiten.de/gsbiz/a73e14a5-8b39-4d60-8e18-7c26aa3fb25e,01819 ,035025 5 08 00
,Meerbuscher Str. 88,"Malerbetriebe,Trockenbau",Meerbusch-Osterath,info@opti-becker.de,Becker Ulrich Optimaler,https://www.gelbeseiten.de/gsbiz/2e7a7324-98ce-44c4-b86b-4bbba8cb6eb4,40670 ,02159 5 05 30
,Dammstr. 30,Trockenbau,Jena-Wenigenjena,info@luschnigbau.de,"Luschnig, Jens",https://www.gelbeseiten.de/gsbiz/1fbf4f89-735f-4a8b-9efa-4c215b03ed5a,07749 ,03641 60 62 12
,Dr.-Frank-Str. 14,Trockenbau,Fürth-Südstadt,info@idealbau-fuerth.de,idealbau fürth,https://www.gelbeseiten.de/gsbiz/abb66807-ebbe-4d7c-9fa5-a46d8b9d91d3,90763 ,0911 98 03 72 62
,Hinter den Kirschkaten 5,"Fenster,Trockenbau,Türen",Lübeck,info@kruse-reger.de,Kruse + Reger GbR Fenster Türen Trockenbau,https://www.gelbeseiten.de/gsbiz/001b4134-5292-49dd-bd4a-76fc9c84056e,23560 ,0451 5 04 14 46
,Bäckerreut 5,Trockenbau,Tiefenbach-Bäckerreut,lothar.breu@web.de,Trockenbau Breu,https://www.gelbeseiten.de/gsbiz/7f5d25e2-6cec-4f9e-9ef5-7be217eb08ce,94113 ,0170 4 34 49 81
,Schloßstr. 21,"Innenausbau,Altbausanierungen,Bauunternehmen",Berlin-Tegel,bauperformance@web.de,T.K. Bauperformance GmbH Ingenieurbüro,https://www.gelbeseiten.de/gsbiz/6a10c812-d092-46ff-af5f-2f001c52ad36,13507 ,030 92 28 41 99
,Cranachstr. 87,Trockenbau,Neuss-Selikum,info@rozicbau.de,Rozic Bau GmbH,https://www.gelbeseiten.de/gsbiz/537e3a2a-b63c-4dd4-9b11-89f26bd001db,41466 ,02131 7 42 66 71
,An der Wuhlheide 232,Trockenbau,Berlin-Oberschöneweide,info@beck-trockenbau.de,Beck Trockenbau GmbH,https://www.gelbeseiten.de/gsbiz/6f8bd417-c841-44e5-accb-b158f225f34c,12459 ,030 63 97 43 30
,Alte Stuttgarter Str. 80,"Trockenbau,Bauunternehmen,Holzbau",Stuttgart-Botnang,dialog@hofstetter.net,Hofstetter GmbH,https://www.gelbeseiten.de/gsbiz/d04942ea-5eb5-454d-b7d1-c109ff484ba4,70195 ,0711 69 10 79
,Im Laichle 9/1,"Trockenbau,Stuckateurbetriebe",Schwäbisch Gmünd-Rehnenhof/Wetzgau,info@gipser-preiss.de,Gipser Preiss W. Preiss GmbH,https://www.gelbeseiten.de/gsbiz/f66266bb-b753-4219-8b27-dde01f7e6e0b,73527 ,07171 97 60 00
,Stemker Weg 14,Trockenbau,Wetter (Ruhr)-Volmarstein,info@trockenbau-buechler.de,Akustik- u. Trockenbau Büchler Dirk,https://www.gelbeseiten.de/gsbiz/85c9e705-3408-4af8-9cf4-91a10a8bed63,58300 ,02335 8 48 05 73
,Hixberger Str. 24,Trockenbau,Riegelsberg,info@trockenbau.saarland,Christoph  Jenderko Akustik- und Trockenbau,https://www.gelbeseiten.de/gsbiz/1488891b-0d9c-4925-97ce-5c9a2ce2ecd6,66292 ,06806 9 15 83 03
,Nachtweide 12,"Stuckateurbetriebe,Malerbetriebe,Trockenbau",Speyer,sascha.oppinger@googlemail.com,Malerfachbetrieb Oppinger,https://www.gelbeseiten.de/gsbiz/7b3f8fff-e0d2-4acb-8343-4fb3140833a8,67346 ,06232 3 12 94 61
,Lange Str. 45,"Trockenbau,Malerbetriebe",Schorndorf,info@maler-florian-schwarz.de,Schwarz Florian - Malerbetrieb Florian,https://www.gelbeseiten.de/gsbiz/a2c3d517-990e-461d-a6b3-233aa901d639,73614 ,07181 9 91 51 73
,Am Berg 23,"Altbausanierungen,Badezimmerrenovierungen,Fliesen",Herne-Wanne,rolfmeinhardt@web.de,Badsanierung Meinhardt,https://www.gelbeseiten.de/gsbiz/49b7b7cb-d80f-4bc5-8439-19e04cc4691c,44649 ,02325 97 91 20
,Vogelbacher Weg 109,Trockenbau,Homburg-Erbach,homburg@heinrich-schmid.de,Heinrich Schmid GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/5bbaa3e9-57da-48c5-ba2b-2979119374ef,66424 ,06841 9 34 90 00
,Hausotterstr. 5,Trockenbau,Berlin-Reinickendorf,info@moha-service.de,Moha Service GmbH,https://www.gelbeseiten.de/gsbiz/081ec081-30d2-4664-979a-2fdb1fee173a,13409 ,030 60 08 14 06
,Schillerstr. 2,Trockenbau,Großröhrsdorf,ams.gruetzner@gmail.com,AMS Pierre Grützner,https://www.gelbeseiten.de/gsbiz/212333cc-a464-4cfd-8cc8-cabf822eb9aa,01900 ,0173 5 27 84 34
,Edisonstr. 13,Trockenbau,Chemnitz-Schönau,l.franke@ami-chemnitz.de,"AMI Chemnitz,  Ausbauer - Maler - Innengestalter",https://www.gelbeseiten.de/gsbiz/a4b2930a-6ff1-4742-9a5a-ed0f4307bbd1,09116 ,0371 8 00 01 06
,Straße vor Schönholz 14,"Zimmereien,Bauunternehmen,Trockenbau",Berlin-Niederschönhausen,info@schukowski.de,Schukowski Bau,https://www.gelbeseiten.de/gsbiz/ea73a11d-43f2-41bd-9f5b-a47e8220031a,13158 ,030 9 16 99 42-0
,Lärchenstr. 48,Trockenbau,Flöha,firmawagner@web.de,Wagner Axel - Trockenbau nach Maß,https://www.gelbeseiten.de/gsbiz/58663c82-15fa-4d44-a105-20592fbe6e6c,09557 ,0172 7 55 53 45
,Neue Str. 3,"Trockenbau,Innenausbau",Hohndorf,info@poefi.de,PÖFI Innenausbau GmbH,https://www.gelbeseiten.de/gsbiz/cfe538bc-6430-44b6-8978-54016cce8b68,09394 ,037204 50 12 55
,Am Promigberg 9,Trockenbau,Dresden-Weixdorf,info@elsner-trockenbau.de,Fritz Elsner Trockenbau GmbH,https://www.gelbeseiten.de/gsbiz/04d88b36-ae14-4d6c-a3dc-84b17e756fef,01108 ,0351 88 48 70
,Rethelstr. 49,Trockenbau,Dresden-Mickten,info@awand.de,AWAND,https://www.gelbeseiten.de/gsbiz/d5e50273-bf25-4474-a9d7-5a8613dbce0b,01139 ,0351 8 56 74 90
,Krumme Jauchert 13,"Malerbetriebe,Altbausanierungen,Stuckateurbetriebe",Langenargen,info@stuckateur-neudert.de,Christian Neudert,https://www.gelbeseiten.de/gsbiz/12cce8ed-f2ea-435d-a202-0bc4aeeb2b98,88085 ,07543 91 37 39
,Großenhainer Str. 67,"Estricharbeiten,Bauunternehmen,Fliesenverlegungen",Meißen,info@ptf-bau.de,PTF Bau GmbH,https://www.gelbeseiten.de/gsbiz/4632a0e6-80fd-4aee-a8e0-2c30a0f52725,01662 ,03521 73 13 51
,Alte Hauptstr. 88,Trockenbau,Dürrröhrsdorf-Dittersbach-Wilschdorf,info@trockenbau-rumpel.de,Akustik Trockenbau GmbH Andreas Rumpel,https://www.gelbeseiten.de/gsbiz/779c6fc6-f6ca-457a-b15c-aef9fe7b5e04,01833 ,035026 97 60
,Löffelholzstr. 8,"Brandschutz,Trockenbau",Nürnberg-Gibitzenhof,info@stoecker-trockenbau.de,Stuck-Stöcker Trockenbau GmbH,https://www.gelbeseiten.de/gsbiz/9faaba78-814a-4996-b5fe-35f33773591f,90441 ,0911 94 17 60
,Straße der Solidarität 20,Trockenbau,Erfurt-Schmira,bb-bau@gmx.de,Bärwolf Bauelemente GmbH,https://www.gelbeseiten.de/gsbiz/b9f110ea-bd86-4888-a69a-ac5b1a5405ad,99094 ,0361 6 54 94 15
,Annaberger Str. 247,Trockenbau,Chemnitz-Altchemnitz,info@trockenbau-gehre.de,Ivo Gehre Akkustik & Trockenbau GmbH,https://www.gelbeseiten.de/gsbiz/6284fbaf-7c5f-4c31-a13e-beef52dfc0c7,09125 ,0371 28 37 20 80
,Schulstr. 38,Trockenbau,Chemnitz-Altchemnitz,mike.thiele@freenet.de,TBU-Aktivbau GmbH,https://www.gelbeseiten.de/gsbiz/9523f2d4-e2bf-42b5-8df4-386462207a20,09125 ,0163 3 80 38 66
,Alfred-Nobel-Str. 34,"Gerüstbau und -vermietung,Malerbetriebe,Trockenbau",Würzburg-Dürrbachau,mail@stang-gmbh.de,Stang GmbH,https://www.gelbeseiten.de/gsbiz/f94c7979-e153-415a-b906-64d7a93ba576,97080 ,0931 9 44 20
,Adersstr. 64,"Gebäudemanagement,Elektroinstallationen,Fliesenverlegungen",Düsseldorf-Friedrichstadt,p.crombach@crombach-shk.de,Crombach Gebäudemanagement,https://www.gelbeseiten.de/gsbiz/2980b765-42ca-4837-9f95-e872d1a07de9,40215 ,0211 72 13 95 34
,Nürnberger Str. 81,Trockenbau,Pommelsbrunn,bauart.hetzenegger@gmail.com,BauArt Hetzenegger,https://www.gelbeseiten.de/gsbiz/0dff730b-8764-4136-a808-f0a113dce02b,91224 ,0176 48 09 35 71
,Oberer Engen 19,Trockenbau,Bobritzsch-Hilbersdorf-Naundorf,info@trockenbau-scholz.de,Scholz Trockenbau e.K.,https://www.gelbeseiten.de/gsbiz/689fda9c-43f7-46b2-a69b-e6e23591b8e7,09627 ,037325 2 70 39
,Rudolf-Diesel-Str. 5,"Dämmstoffe,Trockenbau",Gilching,info@wm-thermo-akustik.de,WM Thermo Akustik GmbH,https://www.gelbeseiten.de/gsbiz/c7f6a2e2-7bea-4c4f-8fea-e79dba340869,82205 ,08105 77 88 30
,Alt Großziethen 85,Trockenbau,Schönefeld-Großziethen,info@stroba-bau.de,S.T.R.O.B.A. Bau GmbH,https://www.gelbeseiten.de/gsbiz/54e90cdd-3646-46c1-b8d5-93a15922e38b,12529 ,03379 44 72 04
