anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Benzstr. 9,Umzüge,Gelsenkirchen,info@umzuege-ehrenberg.de,A.M.Ö Ehrenberg Umzüge,https://www.gelbeseiten.de/gsbiz/470c5b48-2ab9-4b06-b629-0a73245c9190,45891 ,0800  8 58 93 40
,Leimberg 24,Umzüge,Stolberg-Münsterbusch,umzuege.max@t-online.de,MAX GmbH Umzüge,https://www.gelbeseiten.de/gsbiz/aec9ea22-ccb5-4fde-992e-0bbcbfe506b2,52222 ,02402 99 30 95
,Ehrenfried-Jopp-Str. 18,Umzüge,Fürstenwalde/Spree,info@sachau-umzuege.de,"S. SACHAU-UMZÜGE Möbelliftvermietung, Lagerung",https://www.gelbeseiten.de/gsbiz/20c372e6-6d24-4757-8710-d3642e3291c2,15517 ,03361 54 64
,Lubolzer Bahnhofstr. 4,Umzüge,Lübben (Spreewald)-Lubolz,Golz-Umzuege@t-online.de,Golz Umzüge,https://www.gelbeseiten.de/gsbiz/0f915365-a49e-48eb-8127-788b370124b6,15907 ,03546 80 01
,Bergstr. 43,"Entrümpelungen,Haushaltsauflösungen",Chemnitz-Schloßchemnitz,info@julias-beraeumservice.de,Julias Beräumservice - Ihr Beräumungsprofi hilft!,https://www.gelbeseiten.de/gsbiz/65d231b1-8b90-41d3-a9dd-244afd213536,09113 ,0371 5 73 81 70
,Mettmanner Str. 94,Umzüge,Velbert-Mitte,info@umzugsengel-velbert.de,Die Umzugsengel,https://www.gelbeseiten.de/gsbiz/fd9647bc-cdbc-411f-a448-b16eb02f583e,42549 ,02051 5 48 51
,Prämienstr. 16,"Möbeltransporte,Umzüge",Linnich,info@meyer-umzuege.de,Meyer International e.K. Umzüge und Transporte,https://www.gelbeseiten.de/gsbiz/5df05551-b5fd-421b-8bf2-4b4445971055,52441 ,02462 88 90
,Manteuffelstr. 50,Umzüge,Berlin-Tempelhof,info@umzug-siegel.de,Siegel Hausservice GmbH,https://www.gelbeseiten.de/gsbiz/138ee0d5-a6b1-409d-a1b0-5f27627ad536,12103 ,030 21 91 28 44
,Buckower Chaussee 116,Umzüge,Berlin-Marienfelde,info@plischka.de,Plischka-Möbeltransporte,https://www.gelbeseiten.de/gsbiz/8be4022b-542c-46d3-9f0e-1ea225381655,12277 ,030 76 68 80
,Eisenstr. 8-10,"Lagerungen,Umzüge",Neuss-Holzheim,info@german-international.com,a German International GmbH,https://www.gelbeseiten.de/gsbiz/e5750ca5-3e52-4781-95f0-b08c39aeb70b,41472 ,02131 12 54 80
,Rheinstraße  8,"Umzüge,Lagerhäuser,Möbeltransporte",Vettelschoß,info@kts-kuriere.de,KTS Umzüge + Transporte,https://www.gelbeseiten.de/gsbiz/28af4d5b-7d7d-4bae-a9af-cd33bfc65819,53560 ,02465 6 94 97 28
,Kantstr. 30,Umzüge,Leipzig,kontakt@spehr-umzuege.de,Spehr-Umzüge GmbH,https://www.gelbeseiten.de/gsbiz/86a8b3e9-2888-4a06-89c3-2de646f02a7e,04275 ,0341 3 02 50 60
,Lenzstr. 7,"Lagerungen,Betriebsumzüge,Büroumzüge",Nürnberg-Großreuth h d Veste,info@umzugs-lauer.de,Lauer GmbH,https://www.gelbeseiten.de/gsbiz/efa61072-2c61-49c3-a1fd-18fd566831c0,90408 ,0911 93 59 59-0
,Dr.-Peter-Jordan-Str. 2,Umzüge,Bautzen,gaebler.spedition@t-online.de,Gäbler Spedition GmbH,https://www.gelbeseiten.de/gsbiz/2fd3c5e5-563d-4d90-92ae-2037e9763eba,02625 ,03591 4 20 31
,Sonnenallee 150,Umzüge,Berlin-Neukölln,info@mega-umzuege.de,Mega Umzüge,https://www.gelbeseiten.de/gsbiz/8d8c03e6-a262-4eaf-b887-1f4be7293fbe,12059 ,030 68 08 80 23
,Strasse vor Schönholz 2A,Umzüge,Berlin-Niederschönhausen,info@wichtel-umzuege.de,Wichtel Umzüge GmbH,https://www.gelbeseiten.de/gsbiz/b0b1a12d-15ea-40de-a169-f98ec678fb09,13158 ,030 75 56 15 75
,Eifelweg 49,"Umzüge,Entrümpelungen,Möbeltransporte",Göttingen,s-peiffer@t-online.de,Peiffers Umzugsservice,https://www.gelbeseiten.de/gsbiz/3deb5f9a-7162-4616-8c82-e88945c8b8e0,37081 ,0551 9 97 28 85
,Fallersleber Str. 21-22,"Umzüge,Transporte",Braunschweig-Innenstadt,info@die-umzugscrew.de,Die UmzugsCrew,https://www.gelbeseiten.de/gsbiz/b8dfe881-ddf2-41ab-b77b-4cfe713489ea,38100 ,0531 29 55 11 31
,Großmannstr. 129,"Büroumzüge,Möbeltransporte,Umzüge",Hamburg-Rothenburgsort,hamburg@zapf.de,Zapf Hamburg Umzugspartner VRK Hamburg GmbH Umzüge Möbeltransporte,https://www.gelbeseiten.de/gsbiz/c35e46cc-cfaf-4e98-a067-3e94911cb6f7,20539 ,040 85 33 39-0
,Lisztstr. 164,"Umzüge,Möbeltransporte",Ludwigshafen,info@umzuege-gummersheimer.de,Gummersheimer Umzüge,https://www.gelbeseiten.de/gsbiz/4745e3e6-3637-4578-ab5b-f35708b48318,67061 ,0621 56 43 97
,Westerbachstr. 122,Umzüge,Frankfurt am Main-Sossenheim,info@wahlumzug.de,A.F. Umzüge GmbH,https://www.gelbeseiten.de/gsbiz/2d84cc38-320f-497f-b5f8-c36213b66d0c,65936 ,069 67 57 58
,Friesdorfer Str. 189-193,"Umzüge,Lagerraumvermietung,Lagerungen",Bonn,info@spedition-dueren.de,Math. Düren Transport GmbH & Co. KG - Umzugsunternehmen,https://www.gelbeseiten.de/gsbiz/7d79ae30-bad9-41a3-a7ba-bfbdae91504c,53175 ,0228 95 11 10
,Bultstr. 7A-9,"Umzüge,Lagerungen,Möbeltransporte",Hannover-Bult,info@beissner.de,Beißner GmbH & Co. Internationale Möbelspedition KG Ernst G.,https://www.gelbeseiten.de/gsbiz/72ece28c-3bc7-4c13-949f-f5a19f9136aa,30159 ,0511 81 50 81
,Industrierandstraße 21,"Haushaltsauflösungen,Umzüge",Zwickau-Marienthal,transportfirma-schlosser@vodafone.de,Transportfirma Schlosser,https://www.gelbeseiten.de/gsbiz/a782fb76-476a-4aa9-aebe-01bb3ef95513,08060 ,0375 52 51 77
,Friedrich-Engels-Ring 1,"Entrümpelungen,Möbeltransporte,Umzüge",Neubrandenburg-Innenstadt,gillmeister@umzug-2000.de,Neubrandenburger Möbelspedition Umzug Gillmeister e.K.,https://www.gelbeseiten.de/gsbiz/43097d2e-af8f-40b3-8dfd-5ce943be3307,17033 ,0395 4 22 99 99
,42289 ,"Umzüge,Möbeltransporte","
					",info@dahlhaus-umzuege.de,Dahlhaus,https://www.gelbeseiten.de/gsbiz/56089297-ac4b-4c15-8f40-c70794dca157,Wuppertal,0202 50 18 92
,Gießereiweg 5,Umzüge,Essen-Frintrop,kl-service@gmx.de,KL Umzugs- & Montageservice,https://www.gelbeseiten.de/gsbiz/1ca5f784-eea3-482d-98ca-5f53c0e138b3,45145 ,0201 29 44 54 56
,Karinstr. 5,Umzüge,Dortmund,info@tews.de,A. M. Ö. Spedition Tews,https://www.gelbeseiten.de/gsbiz/c943bb4a-4a27-422e-b376-c85d7959de6e,44388 ,0800  0 89 10 80
,Freiheitstr. 101,Umzüge,Remscheid-Innen,info@blasius-umzuege.de,Blasius,https://www.gelbeseiten.de/gsbiz/b39b723e-6111-4ee7-a90f-b99aebfda7ca,42853 ,02191 4 94 70
,Brettergartenstr. 16,Umzüge,Nürnberg-Schniegling,roedel@umzuege-roedel.de,Allgemeiner Umzugsservice Int. Möbelfachspedition Umzüge Rödel,https://www.gelbeseiten.de/gsbiz/ce098057-9167-4163-88d1-599c92fd70b3,90427 ,0911 32 53 33
,Vinckeweg 2,Umzüge,Duisburg-Ruhrort,info@spedition-gombert.de,Gombert Logistik und Services GmbH,https://www.gelbeseiten.de/gsbiz/fa0704dc-af26-455e-8cf3-829c9f4e81b0,47119 ,0203 42 76 68
,Zeithstr. 25,"Möbeltransporte,Umzüge",Siegburg,info@umzuege-achnitz.de,Johann Achnitz GmbH,https://www.gelbeseiten.de/gsbiz/d5a0f351-18fc-414d-9522-8d6a48db2ba4,53721 ,02241 93 83 90
,Schöllersheider Str. 18,Umzüge,Mettmann,info@umzuege-blanke.de,Blanke Umzüge,https://www.gelbeseiten.de/gsbiz/38671c15-eaaa-427d-87cb-84613f76d5f6,40822 ,02104 7 58 58
,Rathausstraße  2,Umzüge,Solingen,info@paulundsoehne.de,Paul & Söhne Umzüge,https://www.gelbeseiten.de/gsbiz/b952412a-8224-4326-91c3-5b5965d8b829,42651 ,0212 24 92 17 58
,Bayreuther Str. 72,"Umzüge,Entrümpelungen,Haushaltsauflösungen",Wuppertal-Elberfeld,info@umzuege-stefanklein.de,Umzüge S. Klein GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/5b63d55d-f260-40c9-807e-75f6abd895c8,42115 ,0202 31 63 73
,Subbelrather Str.  301,Umzüge,Köln,info@cum-umzuege.de,Comfort Umzüge,https://www.gelbeseiten.de/gsbiz/a4388b64-a247-402a-a2b5-07ce7964c66d,50825 ,0221 5 50 15 64
,Paulstr. 20,"Umzüge,Möbellagerung,Möbeltransporte",Bonn,mail@zack-umzuege.de,Zack Umzüge und Dienstleistungen GmbH,https://www.gelbeseiten.de/gsbiz/3a1f5435-ef4e-4a07-af81-95fcdad290c3,53111 ,0228 6 84 47-0
,Welserstr. 10B,Umzüge,Köln,info@kautz-umzuege.com,Kautz Umzüge,https://www.gelbeseiten.de/gsbiz/a1cc50e6-b6c6-4b35-b039-40a1e17c1435,51149 ,02203 30 73 30
,Mathias-Brüggen-Str. 2,Umzüge,Köln,info@richterumzuege.de,Richter Umzüge GmbH,https://www.gelbeseiten.de/gsbiz/75aa82a8-5e2b-470a-a067-61f12e6e349b,50827 ,0221 6 11 04 00
