anmerkung,anschrift,branche,bundesland,email_adresse,firmenname,gelbe_seiten_link,plz,telefonnummer
,Rathaushütte 1,Ziegeleien,Marktredwitz,service@fiedler-decken.de,Fiedler Deckensysteme,https://www.gelbeseiten.de/gsbiz/a2ba8685-d519-4bf2-ab14-5be82ab616a0,95615 ,09231 6 30 76
,85406 ,Ziegeleien,"
					",Hanrieder.Harland@t-online.de,Anton Hanrieder OHG,https://www.gelbeseiten.de/gsbiz/2e9e1aa5-5e49-4692-9bd7-435e065290fa,Zolling,08167 9 55 96 96
,Ziegeleistr. 3,Ziegeleien,Mittelstetten,mail@aubelekinader.de,Aubele Kinader GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/efcb4dc8-7982-4135-be9f-ed5e7229198f,82293 ,08202 96 08-0
,Briener Str. 13,Ziegeleien,Kleve,info@backstein-allianz.de,Backstein Allianz GmbH,https://www.gelbeseiten.de/gsbiz/a436cee4-c329-4477-9747-a323b8521083,47533 ,02821 8 98 97 95
,An der Chaussee 47-51,Ziegeleien,Glückstadt,info@zbw-klinker.de,Ziegelwerk Blomesche Wildnis Heinrich Pollmann jun. KG,https://www.gelbeseiten.de/gsbiz/d2470007-fc15-4d9f-9b5d-edd6a0f2ca55,25348 ,04124 60 48 30
,Kleine Lohe 11,Ziegeleien,Hamdorf,office@ziegelteam.de,Ziegelteam,https://www.gelbeseiten.de/gsbiz/a00111c5-ea1b-4c3e-a418-7a5d1f2a1def,24805 ,0170 4 81 88 70
,Ziegelei 2,Ziegeleien,Eitensheim,info@ernst-ziegelwerk.de,Ernst Ziegelwerk GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/db4cdf78-d38c-4279-b0e3-00b0ae9b066a,85117 ,08458 83 06
,Krautheimer Str. 8,Ziegeleien,Kolitzheim-Zeilitzheim,info@ziegelwerk-englert.de,Englert Ziegelwerk GmbH,https://www.gelbeseiten.de/gsbiz/f58757ac-7dcb-4c94-96ba-e45a512213be,97509 ,09381 24 33
,Deichstr. 36B,"Ferienhäuser und -wohnungen,Ziegeleien",Hamburg-Altstadt,info@siggeneben-ostsee.de,Ferienwohnung Alte Ziegelei,https://www.gelbeseiten.de/gsbiz/ca5bd486-bb0f-4bd2-95df-cf309ae87d0d,20459 ,040 32 55 53 10
,Wechterswinkler Str. 23,Ziegeleien,Unsleben,vertrieb@nelskamp.de,"Dachziegelwerke Nelskamp, GmbH",https://www.gelbeseiten.de/gsbiz/438f8f5b-5070-405b-a865-efc8931cdaf8,97618 ,09773 91 01-0
,Alte Ziegelei,Ziegeleien,Mainz,cjd-rhein-pfalz-nordbaden@cjd.de,CJD Mainz Alte Ziegelei,https://www.gelbeseiten.de/gsbiz/c4207bdc-f448-49d8-a0f3-0353b19c8aae,55128 ,06131 33 61 20
,Glimbacher Str. 41-43,Ziegeleien,Linnich,coenen-klinker@t-online.de,Coenen Josef Ziegel- & Klinkerwerk GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/ad03f86a-519e-4cae-946a-fa72808421bf,52441 ,02462 63 57
,Bremer Str. 9,Ziegeleien,Hude (Oldb),info.de@wienerberger.com,Wienerberger Ziegelindustrie GmbH,https://www.gelbeseiten.de/gsbiz/ba49092b-90c2-4742-b5bd-adaaaac17e88,27798 ,04408 80 20
,Kurt-Kerschl-Str. 3,"Bauunternehmen,Ziegeleien",Plattling-Pankofen,info@redbloc-elemente.de,Redbloc Elemente GmbH,https://www.gelbeseiten.de/gsbiz/5fde3581-0376-43c2-b6fd-b40739fda36b,94447 ,09931 98 27 76-0
,Alpenstr. 47,Ziegeleien,Werder (Havel)-Glindow,info@zielgelmanufaktur.com,Neue Ziegelmanufaktur UG (haftungsbeschränkt),https://www.gelbeseiten.de/gsbiz/07ab24a8-7d76-4453-82b5-b9ae5a7ccd76,14542 ,03327 66 49-0
,Ziegeleistr. 13,"Ziegeleien,Baustoffe",Egenhofen-Oberweikertshofen,info@kellererziegel.de,Kellerer Ziegelsysteme,https://www.gelbeseiten.de/gsbiz/ade50c99-6458-4382-853c-69398f65896b,82281 ,08145 9 23-0
,St.-Leonhard-Str. 25,Ziegeleien,Balzhausen,info@staudacher-ziegel.de,Staudacher Ziegel GmbH & Co. KG,https://www.gelbeseiten.de/gsbiz/2cb1d3e8-dc84-4469-8f76-537c761bf9f1,86483 ,08281 99 96-0
